,,Week 14 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Abu Sama III,Iowa State,KanSt,KanSt,-,-,25,15.72,31,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,EastMi,EastMi,-,-,26,15.37,28,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
Chip Trayanum,Kentucky,Lou,Lou,-,-,27,15.36,27,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
Woody Marks,USC,ND,ND,-,-,28,15.29,26,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,Mia-Fl,Mia-Fl,-,-,29,15.24,16,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,Ark,Ark,-,-,30,14.88,33,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,Fres,Fres,-,-,31,14.83,34,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,Ari,AriSt,-,-,32,14.74,29,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,UGa,GaTech,-,-,33,14.55,35,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Bhayshul Tuten,Virginia Tech,UVa,UVa,-,-,34,14.51,32,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Jalen White,Georgia Southern,App,App,-,-,35,14.43,37,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Trevor Etienne,Georgia,GaTech,GaTech,-,-,36,14.20,36,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,Vandy,Tenn,-,-,37,13.89,38,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,USF,USF,-,-,38,13.88,25,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,MD,MD,-,-,39,13.74,39,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,Auburn,Auburn,-,-,40,13.61,41,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,GaSo,App,-,-,41,13.48,43,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,USC,ND,-,-,42,13.45,50,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Harrison Waylee,Wyoming,WashSt,Wyo,-,-,43,13.43,47,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Jacquez Stuart,Toledo,Akron,Toledo,-,-,44,13.34,49,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Rickey Hunt,Ohio,BallSt,BallSt,-,-,45,13.29,48,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,Mia-O,Mia-O,-,-,46,13.22,60,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,Oregon,Wash,-,-,47,13.15,40,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Chez Mellusi,Wisconsin,Minn,Minn,-,-,48,12.89,45,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
Jordan Waters,North Carolina State,UNC,NCSU,-,-,49,12.89,56,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,NIU,CentMi,-,-,50,12.84,44,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,TexA&M,Tex,-,-,51,12.77,46,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Kaden Feagin,Illinois,NW,Ill,-,-,52,12.74,57,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,Ala,Auburn,-,-,53,12.63,52,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Corey Kiner,Cincinnati,TCU,TCU,-,-,54,12.56,59,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Ja'Quinden Jackson,Arkansas,Missou,Ark,-,-,55,12.55,54,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Montrell Johnson,Florida,FlaSt,Fla,-,-,56,12.47,42,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Quali Conley,Arizona,AriSt,AriSt,-,-,57,12.25,53,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,Nevada,Nevada,-,-,58,12.14,67,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,Cin,TCU,-,-,59,12.12,71,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,PSU,MD,-,-,60,11.79,51,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Raheim Sanders,South Carolina,Clem,SCar,-,-,61,11.77,58,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,Ind,Purdue,-,-,62,11.73,65,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Jaquez Moore,Duke,Wake,Duke,-,-,63,11.66,73,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,ODU,ODU,-,-,64,11.65,62,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,Okla,Okla,-,-,65,11.64,74,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Parker Jenkins,Houston,BYU,Hou,-,-,66,11.60,75,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Noah Whittington,Oregon,Wash,Wash,-,-,67,11.48,64,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Rodrigues Clark,Southern Miss,Troy,SouMis,-,-,68,11.46,68,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Braylon McReynolds,South Alabama,TxSt,TxSt,-,-,69,11.44,63,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Anthony Hankerson,Oregon State,Boise,OreSt,-,-,70,11.30,66,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Jacory Croskey-Merritt,Arizona,AriSt,AriSt,-,-,71,11.28,69,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,MD,MD,-,-,72,11.23,89,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,FlaAtl,FlaAtl,-,-,73,11.11,87,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,JMU,Marsh,-,-,74,11.06,70,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,Cal,Cal,-,-,75,11.04,81,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Jeremiyah Love,Notre Dame,USC,ND,-,-,76,11.00,83,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,AF,AF,-,-,77,10.97,61,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,Hou,Hou,-,-,78,10.93,76,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,NMSt,UTEP,-,-,79,10.91,100,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,UtahSt,UtahSt,-,-,80,10.91,84,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,WestKy,JacSt,-,-,81,10.88,80,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,Auburn,Auburn,-,-,82,10.86,79,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
Ayo Adeyi,James Madison,Marsh,Marsh,-,-,83,10.84,95,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,Rut,Rut,-,-,84,10.81,88,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Rahsul Faison,Utah State,ColoSt,UtahSt,-,-,85,10.81,94,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,Ohio,BallSt,-,-,86,10.78,85,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,Kty,Lou,-,-,87,10.74,72,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,Rice,USF,-,-,88,10.68,55,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,SDSU,AF,-,-,89,10.66,127,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,OreSt,OreSt,-,-,90,10.58,90,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,UCF,Utah,-,-,91,10.57,82,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,Okla,Okla,-,-,92,10.52,99,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Damien Taylor,Troy,SouMis,SouMis,-,-,93,10.42,92,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Demond Claiborne,Wake Forest,Duke,Duke,-,-,94,10.41,113,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Eli Sanders,New Mexico,Hawaii,NM,-,-,95,10.35,91,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,UTEP,UTEP,-,-,96,10.34,104,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Kye Robichaux,Boston College,Pitt,Pitt,-,-,97,10.33,86,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Lee Beebe,UAB,Char,UAB,-,-,98,10.26,93,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Le'Veon Moss,Texas A&M,Tex,Tex,-,-,99,10.22,110,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,Fla,Fla,-,-,100,10.18,109,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,KennSt,KennSt,-,-,101,10.16,106,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,MissSt,MissSt,-,-,102,10.03,116,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,Fres,Fres,-,-,103,10.03,77,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,UL-Laf,UL-Laf,-,-,104,10.03,129,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,Temple,NorTx,-,-,105,10.02,103,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,JacSt,JacSt,-,-,106,9.97,98,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Cartevious Norton,UNC Charlotte,UAB,UAB,-,-,107,9.87,108,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Nay'Quan Wright,South Florida,Rice,USF,-,-,108,9.87,126,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,Char,UAB,-,-,109,9.81,123,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,Ind,Purdue,-,-,110,9.81,111,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,Ari,AriSt,-,-,111,9.77,122,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Jacqez Barksdale,Buffalo,KentSt,KentSt,-,-,112,9.76,107,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,Temple,NorTx,-,-,113,9.76,118,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,Cin,TCU,-,-,114,9.75,112,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,Army,Tx-SA,-,-,115,9.74,117,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Dominic Richardson,Baylor,Kansas,Kansas,-,-,116,9.69,96,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,BC,Pitt,-,-,117,9.65,102,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,Stan,Stan,-,-,118,9.63,115,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,Ill,Ill,-,-,119,9.61,119,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,TxSt,TxSt,-,-,120,9.60,120,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Ky Thomas,Kent,Buff,KentSt,-,-,121,9.60,128,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
Michael Benefield,Kennesaw State,LaTech,KennSt,-,-,122,9.55,143,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
CJ Donaldson,West Virginia,TxTch,WVU,-,-,123,9.53,142,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,Purdue,Purdue,-,-,124,9.51,97,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,GaSt,CoastC,-,-,125,9.44,105,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),BGSU,Mia-O,-,-,126,9.43,136,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,Neb,Neb,-,-,127,9.42,132,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,UMass,UConn,-,-,128,9.41,124,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,Utah,Utah,-,-,129,9.40,139,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,Wake,Duke,-,-,130,9.40,125,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,WestMI,EastMi,-,-,131,9.28,131,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Treshaun Ward,Boston College,Pitt,Pitt,-,-,132,9.24,121,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,Iowa,Neb,-,-,133,9.19,133,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,MissSt,MissSt,-,-,134,9.13,145,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,Minn,Minn,-,-,135,9.12,135,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,Army,Tx-SA,-,-,136,9.09,137,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,Fla,Fla,-,-,137,9.06,114,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,SamHou,Lib,-,-,138,9.04,156,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,UL-Mon,UL-Laf,-,-,139,9.04,148,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,Miss,MissSt,-,-,140,9.03,144,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,CoastC,CoastC,-,-,141,9.02,138,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,Tulsa,FlaAtl,-,-,142,8.97,147,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,Char,UAB,-,-,143,8.91,101,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,UTEP,UTEP,-,-,144,8.84,152,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
John Gentry,Sam Houston,Lib,Lib,-,-,145,8.79,78,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Kobe Pace,Virginia,VaTech,UVa,-,-,146,8.76,134,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,Boise,OreSt,-,-,147,8.74,140,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,UNLV,Nevada,-,-,148,8.67,149,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,WashSt,Wyo,-,-,149,8.63,155,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,Cal,Cal,-,-,150,8.61,158,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,WestMI,EastMi,-,-,151,8.30,150,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,Toledo,Toledo,-,-,152,8.28,146,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,GaTech,GaTech,-,-,153,8.27,162,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anthony Tyus,Ohio,BallSt,BallSt,-,-,154,8.24,160,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,GaSo,App,-,-,155,8.18,163,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,Ohio,BallSt,-,-,156,8.17,172,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,Baylor,Kansas,-,-,157,8.15,171,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,ODU,ODU,-,-,158,8.08,173,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Rayshon Luke,Arizona,AriSt,AriSt,-,-,159,8.05,154,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,IaSt,KanSt,-,-,160,7.98,153,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,OkSt,OkSt,-,-,161,7.98,141,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,ColoSt,UtahSt,-,-,162,7.95,169,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Gerald Green,Troy,SouMis,SouMis,-,-,163,7.89,159,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Desmond Reid,Pittsburgh,BC,Pitt,-,-,164,7.83,151,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,ArkSt,ODU,-,-,165,7.81,176,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Nate Noel,Missouri,Ark,Ark,-,-,166,7.79,165,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,Vandy,Tenn,-,-,167,7.79,161,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Freddie Brock,Georgia State,CoastC,CoastC,-,-,168,7.70,178,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,Miss,MissSt,-,-,169,7.70,167,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,SJSU,Stan,-,-,170,7.69,130,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,WestKy,JacSt,-,-,171,7.66,174,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,MissSt,MissSt,-,-,172,7.54,192,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,Syr,Mia-Fl,-,-,173,7.48,175,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,Nevada,Nevada,-,-,174,7.45,186,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,UL-Mon,UL-Laf,-,-,175,7.45,202,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,UL-Laf,UL-Laf,-,-,176,7.45,197,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,JMU,Marsh,-,-,177,7.42,179,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,KentSt,KentSt,-,-,178,7.40,168,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,OhioSt,Mich,-,-,179,7.37,191,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,Tenn,Tenn,-,-,180,7.35,164,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,Rut,Rut,-,-,181,7.34,181,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,Tenn,Tenn,-,-,182,7.28,190,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,Kty,Lou,-,-,183,7.22,157,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,UConn,UConn,-,-,184,7.20,184,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,SCar,SCar,-,-,185,7.19,199,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,EastMi,EastMi,-,-,186,7.18,180,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,FIU,MiddTn,-,-,187,7.15,201,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,Troy,SouMis,-,-,188,7.13,188,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,UCF,Utah,-,-,189,7.09,203,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Treyaun Webb,Florida,FlaSt,Fla,-,-,190,7.09,187,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,SMU,Cal,-,-,191,7.08,183,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,CentMi,CentMi,-,-,192,7.05,170,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,Duke,Duke,-,-,193,6.97,209,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
