,,Week 7 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Kris Hutson,Washington State,Fres,WashSt,-,-,64,8.10,60,12.83,59.50,4.73,12.6,0.35,0.53,0.18,2.9,0.00
Anthony Simpson,Massachusetts,Missou,Missou,-,-,65,8.05,62,12.65,62.98,4.60,13.7,0.26,2.21,0.51,4.3,0.00
Courtney Jackson,Arkansas State,TxSt,ArkSt,-,-,66,8.02,92,11.10,54.83,3.08,17.8,0.42,0.33,0.08,4.1,0.00
Carnell Tate,Ohio State,Oregon,OhioSt,-,-,67,7.94,73,11.72,54.74,3.78,14.5,0.41,0.00,0.00,0.0,0.00
Amare Thomas,UAB,Army,UAB,-,-,68,7.90,46,14.13,55.92,6.23,9.0,0.34,2.86,0.34,8.4,0.00
Nyck Harbor,South Carolina,Ala,SCar,-,-,69,7.89,84,11.38,58.95,3.49,16.9,0.32,0.49,0.16,3.1,0.00
Omari Kelly,Middle Tenn. St,LaTech,MiddTn,-,-,70,7.84,65,12.34,59.06,4.51,13.1,0.32,0.00,0.00,0.0,0.00
Kris Mitchell,Notre Dame,Stan,Stan,-,-,71,7.84,129,10.20,43.67,2.37,18.4,0.57,0.41,0.08,5.1,0.00
Tru Edwards,Louisiana Tech,MiddTn,MiddTn,-,-,72,7.79,67,12.05,51.13,4.27,12.0,0.43,1.11,0.34,3.3,0.00
Theo Wease Jr.,Missouri,UMass,Missou,-,-,73,7.75,81,11.50,52.50,3.75,14.0,0.42,0.00,0.00,0.0,0.00
Chris Brazzell II,Tennessee,Fla,Fla,-,-,74,7.74,111,10.63,49.30,2.89,17.1,0.47,0.00,0.00,0.0,0.00
Tyrin Smith,Cincinnati,UCF,Cin,-,-,75,7.68,78,11.56,50.38,3.88,13.0,0.35,5.21,0.71,7.3,0.00
Donavon Greene,Wake Forest,Clem,Clem,-,-,76,7.66,80,11.55,55.29,3.90,14.2,0.35,0.00,0.00,0.0,0.00
Trond Grizzell,California,Pitt,Cal,-,-,77,7.62,97,10.92,50.87,3.30,15.4,0.42,0.00,0.00,0.0,0.00
Louis Brown,San Diego State,Wyo,SDSU,-,-,78,7.61,68,12.03,48.45,4.42,11.0,0.46,0.00,0.00,0.0,0.00
De'Corian Clark,UTSA,Rice,Tx-SA,-,-,79,7.60,86,11.33,51.65,3.73,13.8,0.41,0.00,0.00,0.0,0.00
Makai Lemon,USC,PSU,PSU,-,-,80,7.59,72,11.80,48.00,4.21,11.4,0.45,1.07,0.18,5.9,0.00
Pat Bryant,Illinois,Purdue,Purdue,-,-,81,7.58,90,11.17,47.77,3.58,13.3,0.47,0.00,0.00,0.0,0.00
Tyler Brown,Clemson,Wake,Clem,-,-,82,7.54,66,12.08,49.05,4.54,10.8,0.41,2.03,0.16,12.7,0.00
Landon Ransom-Goelz,Rice,Tx-SA,Tx-SA,-,-,83,7.53,89,11.21,49.54,3.69,13.4,0.43,0.00,0.00,0.0,0.00
Corey Rucker,Arkansas State,TxSt,ArkSt,-,-,84,7.52,103,10.75,58.60,3.23,18.1,0.27,0.45,0.09,5.0,0.00
J. Michael Sturdivant,UCLA,Minn,Minn,-,-,85,7.47,85,11.36,53.93,3.89,13.9,0.35,0.00,0.00,0.0,0.00
Ja'Corey Brooks,Louisville,UVa,Lou,-,-,86,7.44,108,10.70,43.26,3.26,13.3,0.52,0.00,0.00,0.0,0.00
Tobias Merriweather,California,Pitt,Cal,-,-,87,7.44,115,10.52,50.76,3.08,16.5,0.39,0.00,0.00,0.0,0.00
Cam Camper,Boise State,Hawaii,Boise,-,-,88,7.40,121,10.32,50.92,2.92,17.4,0.38,0.00,0.00,0.0,0.00
Jordan Watkins,Mississippi,LSU,Miss,-,-,89,7.36,79,11.56,58.11,4.20,13.8,0.26,0.09,0.09,1.0,0.00
Kaden Prather,Maryland,NW,NW,-,-,90,7.31,109,10.67,48.64,3.36,14.5,0.40,0.48,0.08,6.0,0.00
Dane Key,Kentucky,Vandy,Vandy,-,-,91,7.29,114,10.54,47.92,3.25,14.7,0.42,0.00,0.00,0.0,0.00
Jack Hestera,Utah State,UNLV,UNLV,-,-,92,7.28,98,10.90,48.16,3.62,13.3,0.41,0.00,0.00,0.0,0.00
Kobe Paysour,North Carolina,GaTech,GaTech,-,-,93,7.27,88,11.27,50.91,4.00,12.7,0.36,0.00,0.00,0.0,0.00
Trey Goodman,UTEP,WestKy,UTEP,-,-,94,7.26,110,10.63,45.36,3.36,13.5,0.45,0.00,0.00,0.0,0.00
Elijah Metcalf,Marshall,GaSo,Marsh,-,-,95,7.23,75,11.62,47.86,4.40,10.9,0.41,0.00,0.00,0.0,0.00
Xavier Townsend,Central Florida,Cin,Cin,-,-,96,7.23,93,11.07,42.83,3.83,11.2,0.42,4.50,0.58,7.8,0.00
Junior Vandeross,Toledo,Buff,Toledo,-,-,97,7.21,106,10.74,49.15,3.53,13.9,0.35,1.76,0.26,6.8,0.00
Omari Hayes,Florida Atlantic,NorTx,NorTx,-,-,98,7.20,74,11.69,51.25,4.49,11.4,0.35,0.00,0.00,0.0,0.00
Dominic Lovett,Georgia,MissSt,MissSt,-,-,99,7.18,77,11.56,52.38,4.38,12.0,0.32,0.00,0.00,0.0,0.00
Jerjuan Newton,Toledo,Buff,Toledo,-,-,100,7.16,100,10.82,48.08,3.66,13.1,0.39,0.16,0.08,2.0,0.00
Barion Brown,Kentucky,Vandy,Vandy,-,-,101,7.15,76,11.60,48.75,4.45,11.0,0.33,2.96,0.49,6.0,0.00
Darrius Clemons,Oregon State,Nevada,OreSt,-,-,102,7.13,96,10.94,50.70,3.80,13.3,0.34,0.34,0.08,4.3,0.00
Ja'Kobi Lane,USC,PSU,PSU,-,-,103,7.11,122,10.29,45.95,3.17,14.5,0.40,1.35,0.24,5.6,0.00
Darius Lassiter,BYU,Ari,Ari,-,-,104,7.10,118,10.46,43.18,3.36,12.9,0.45,0.55,0.09,6.1,0.00
Julian Fleming,Penn State,USC,PSU,-,-,105,7.09,124,10.26,45.17,3.17,14.2,0.42,0.75,0.17,4.4,0.00
Jayce Brown,Kansas State,Colo,KanSt,-,-,106,7.07,102,10.75,46.40,3.68,12.6,0.40,0.32,0.32,1.0,0.00
Easton Messer,Western Kentucky,UTEP,UTEP,-,-,107,7.06,87,11.30,45.76,4.24,10.8,0.40,0.80,0.16,5.0,0.00
Jimmy Valsin,Oregon State,Nevada,OreSt,-,-,108,7.06,104,10.75,49.63,3.69,13.4,0.34,0.43,0.09,4.8,0.00
Alex Adams,Akron,WestMI,Akron,-,-,109,7.05,82,11.42,48.73,4.36,11.2,0.36,0.00,0.00,0.0,0.00
Chris Hilton,LSU,Miss,Miss,-,-,110,7.05,143,9.89,47.23,2.85,16.6,0.38,0.15,0.08,1.9,0.00
Logan Loya,UCLA,Minn,Minn,-,-,111,7.04,91,11.16,45.59,4.13,11.0,0.36,3.23,0.72,4.5,0.00
Bryce Kirtz,Northwestern,MD,NW,-,-,112,6.99,95,10.94,50.15,3.95,12.7,0.33,0.00,0.00,0.0,0.00
Taylor Morin,Wake Forest,Clem,Clem,-,-,113,6.98,105,10.74,50.40,3.76,13.4,0.32,0.24,0.08,3.0,0.00
Dylan Goffney,Colorado State,SJSU,SJSU,-,-,114,6.96,107,10.71,48.74,3.76,13.0,0.34,0.34,0.17,2.0,0.00
Taji Hudson,James Madison,CoastC,CoastC,-,-,115,6.96,145,9.81,42.77,2.86,15.0,0.45,0.00,0.00,0.0,0.00
Caleb Medford,New Mexico,AF,AF,-,-,116,6.94,133,10.08,55.21,3.15,17.5,0.24,0.00,0.00,0.0,0.00
Christan Horn,Appalachian State,UL-Laf,App,-,-,117,6.91,148,9.74,44.08,2.83,15.6,0.42,0.00,0.00,0.0,0.00
Nik McMillan,Buffalo,Toledo,Toledo,-,-,118,6.91,113,10.57,49.40,3.66,13.5,0.31,1.01,0.16,6.3,0.00
Tai Felton,Maryland,NW,NW,-,-,119,6.88,130,10.18,47.22,3.30,14.3,0.35,0.70,0.09,7.8,0.00
A.J. Henning,Northwestern,MD,NW,-,-,120,6.88,99,10.90,39.11,4.02,9.7,0.26,8.66,2.27,3.8,0.09
J.J. Jones,North Carolina,GaTech,GaTech,-,-,121,6.86,127,10.22,52.76,3.35,15.7,0.26,0.00,0.00,0.0,0.00
Ryan Williams,Alabama,SCar,SCar,-,-,122,6.86,138,9.95,52.27,3.09,16.9,0.27,0.00,0.00,0.0,0.00
Ja'Mori Maclin,Kentucky,Vandy,Vandy,-,-,123,6.84,161,9.42,49.03,2.58,19.0,0.32,0.00,0.00,0.0,0.00
Justus Ross-Simmons,Syracuse,NCSU,Syr,-,-,124,6.84,123,10.28,52.50,3.44,15.3,0.26,0.00,0.00,0.0,0.00
Antonio Williams,Clemson,Wake,Clem,-,-,125,6.84,83,11.40,49.20,4.56,10.8,0.32,0.00,0.00,0.0,0.00
Kenneth Womack,Western Michigan,Akron,Akron,-,-,126,6.84,57,13.01,58.42,6.17,9.5,0.17,0.00,0.00,0.0,0.00
Zakhari Franklin,Illinois,Purdue,Purdue,-,-,127,6.83,132,10.11,44.96,3.27,13.7,0.39,0.00,0.00,0.0,0.00
Jaden Greathouse,Notre Dame,Stan,Stan,-,-,128,6.82,158,9.46,37.28,2.64,14.1,0.51,0.26,0.09,2.9,0.00
Harrison Wallace,Penn State,USC,PSU,-,-,129,6.81,134,10.06,43.81,3.25,13.5,0.40,0.48,0.08,6.0,0.00
Chase Roberts,BYU,Ari,Ari,-,-,130,6.75,128,10.20,46.77,3.45,13.6,0.33,0.99,0.16,6.2,0.00
Justin Lockhart,San Jose State,ColoSt,SJSU,-,-,131,6.73,119,10.43,52.46,3.71,14.1,0.25,0.00,0.00,0.0,0.00
Tiaquelin Mims,Southern Miss,UL-Mon,SouMis,-,-,132,6.73,101,10.82,46.42,4.08,11.4,0.33,0.92,0.17,5.4,0.00
J.J. Sparkman,UTSA,Rice,Tx-SA,-,-,133,6.70,117,10.49,48.08,3.79,12.7,0.32,0.00,0.00,0.0,0.00
Junior Sherrill,Vanderbilt,Kty,Vandy,-,-,134,6.68,136,9.96,42.67,3.28,13.0,0.34,3.45,0.60,5.8,0.00
Malik Rutherford,Georgia Tech,UNC,GaTech,-,-,135,6.67,112,10.58,44.96,3.91,11.5,0.35,0.87,0.17,5.1,0.00
Micah Davis,Mississippi,LSU,Miss,-,-,136,6.65,149,9.65,36.50,3.00,12.2,0.50,0.00,0.00,0.0,0.00
Kellen Stewart,Middle Tenn. St,LaTech,MiddTn,-,-,137,6.65,120,10.41,44.87,3.76,11.9,0.36,0.18,0.09,2.0,0.00
Jaden Williams,Texas State,ArkSt,ArkSt,-,-,138,6.64,156,9.48,50.86,2.84,17.9,0.26,0.00,0.00,0.0,0.00
Quincy Skinner Jr.,Vanderbilt,Kty,Vandy,-,-,139,6.61,162,9.36,40.92,2.75,14.9,0.42,0.17,0.08,2.1,0.00
Bryson Green,Wisconsin,Rut,Wisc,-,-,140,6.59,147,9.76,45.92,3.17,14.5,0.33,0.00,0.00,0.0,0.00
Cameron Ross,James Madison,CoastC,CoastC,-,-,141,6.56,144,9.86,47.10,3.30,14.3,0.30,0.52,0.22,2.4,0.00
Jahmal Edrine,Purdue,Ill,Purdue,-,-,142,6.47,142,9.93,44.91,3.46,13.0,0.31,0.94,0.24,3.9,0.00
Colbie Young,Georgia,MissSt,MissSt,-,-,143,6.47,141,9.94,44.07,3.47,12.7,0.34,0.25,0.08,3.1,0.00
Konata Mumpfield,Pittsburgh,Cal,Cal,-,-,144,6.42,151,9.64,38.73,3.22,12.0,0.42,0.00,0.00,0.0,0.00
Dillon Bell,Georgia,MissSt,MissSt,-,-,145,6.41,165,9.23,34.67,2.82,12.3,0.16,10.59,1.73,6.1,0.16
Jacob De Jesus,UNLV,UtahSt,UNLV,-,-,146,6.41,94,10.97,45.55,4.56,10.0,0.17,3.30,0.76,4.3,0.08
Landon Sides,North Texas,FlaAtl,NorTx,-,-,147,6.40,137,9.95,37.98,3.55,10.7,0.40,1.85,0.32,5.8,0.00
Dean Patterson,Florida International,Lib,FIU,-,-,148,6.37,139,9.95,53.97,3.58,15.1,0.16,0.00,0.00,0.0,0.00
Coleman Owen,Ohio,CentMi,Ohio,-,-,149,6.32,116,10.51,48.44,4.18,11.6,0.24,0.32,0.08,4.0,0.00
Tiger Bachmeier,Stanford,ND,Stan,-,-,150,6.31,126,10.24,46.01,3.93,11.7,0.26,1.71,0.17,10.1,0.00
Kobe Prentice,Alabama,SCar,SCar,-,-,151,6.29,154,9.57,44.14,3.28,13.5,0.31,0.00,0.00,0.0,0.00
DT Sheffield,North Texas,FlaAtl,NorTx,-,-,152,6.28,152,9.62,37.33,3.33,11.2,0.42,0.50,0.17,2.9,0.00
Andre Johnson,Miami (OH),EastMi,Mia-O,-,-,153,6.26,184,8.57,41.24,2.31,17.9,0.36,0.00,0.00,0.0,0.00
Mac Dalena,Fresno State,WashSt,WashSt,-,-,154,6.23,135,10.00,43.23,3.77,11.5,0.31,0.62,0.08,7.8,0.00
Jacoby Jones,Central Florida,Cin,Cin,-,-,155,6.23,180,8.71,38.32,2.48,15.5,0.40,0.00,0.00,0.0,0.00
Cade McDonald,Miami (OH),EastMi,Mia-O,-,-,156,6.22,163,9.35,40.00,3.13,12.8,0.36,0.80,0.18,4.4,0.00
Kelby Williams,Old Dominion,GaSt,ODU,-,-,157,6.22,177,8.81,40.00,2.59,15.4,0.37,0.00,0.09,0.0,0.00
DeMarcus Harris,Marshall,GaSo,Marsh,-,-,158,6.21,125,10.24,46.38,4.02,11.5,0.26,0.00,0.00,0.0,0.00
Anthony Sambucci,Western Michigan,Akron,Akron,-,-,159,6.21,186,8.56,33.73,2.35,14.4,0.47,0.16,0.16,1.0,0.00
Naiem Simmons,South Florida,Mem,Mem,-,-,160,6.17,173,8.89,39.09,2.72,14.4,0.38,0.00,0.00,0.0,0.00
Noah Rogers,North Carolina State,Syr,Syr,-,-,161,6.16,171,8.96,41.27,2.80,14.7,0.34,0.00,0.00,0.0,0.00
Marlyn Johnson,Florida Atlantic,NorTx,NorTx,-,-,162,6.14,153,9.58,42.16,3.44,12.3,0.32,0.00,0.00,0.0,0.00
Ja'Shaun Poke,San Diego State,Wyo,SDSU,-,-,163,6.11,131,10.11,41.08,4.00,10.3,0.33,0.00,0.00,0.0,0.00
Robert Williams,Louisiana-Lafayette,App,App,-,-,164,6.10,164,9.25,38.80,3.15,12.3,0.37,0.00,0.00,0.0,0.00
Austin Bolt,Boise State,Hawaii,Boise,-,-,165,6.09,210,8.09,42.46,2.00,21.2,0.31,0.00,0.00,0.0,0.00
Jimmy Holiday,Louisiana Tech,MiddTn,MiddTn,-,-,166,6.03,178,8.78,44.08,2.75,16.0,0.25,1.25,0.50,2.5,0.00
Traylon Ray,West Virginia,IaSt,IaSt,-,-,167,6.02,211,8.06,42.11,2.04,20.6,0.30,0.00,0.00,0.0,0.00
Jamahdia Whitby,Coastal Carolina,JMU,CoastC,-,-,168,6.01,175,8.88,37.87,2.87,13.2,0.37,0.00,0.00,0.0,0.00
Jalil Farooq,Oklahoma,Tex,Tex,-,-,169,6.00,157,9.48,46.17,3.48,13.3,0.17,3.39,0.61,5.6,0.00
JB Mitchell,Eastern Michigan,Mia-O,Mia-O,-,-,170,6.00,146,9.81,43.95,3.81,11.5,0.27,0.09,0.09,1.0,0.00
Luke Wysong,New Mexico,AF,AF,-,-,171,6.00,188,8.54,36.92,2.54,14.5,0.38,0.00,0.00,0.0,0.00
Bru McCoy,Tennessee,Fla,Fla,-,-,172,5.98,166,9.14,41.23,3.15,13.1,0.31,0.15,0.08,1.9,0.00
Blair Conwright,North Texas,FlaAtl,NorTx,-,-,173,5.97,192,8.50,44.09,2.52,17.5,0.26,0.00,0.00,0.0,0.00
Bryant Wesco Jr.,Clemson,Wake,Clem,-,-,174,5.97,170,9.05,39.67,3.08,12.9,0.33,0.00,0.00,0.0,0.00
Jaden Smith,UTEP,WestKy,UTEP,-,-,175,5.93,159,9.45,43.46,3.51,12.4,0.26,0.43,0.09,4.8,0.00
Tyson Davis,Central Michigan,Ohio,Ohio,-,-,176,5.91,195,8.41,38.50,2.50,15.4,0.33,0.58,0.17,3.4,0.00
Kam Thomas,UTEP,WestKy,UTEP,-,-,177,5.88,174,8.88,36.77,3.00,12.3,0.23,3.62,1.00,3.6,0.08
Traeshon Holden,Oregon,OhioSt,OhioSt,-,-,178,5.87,194,8.48,31.83,2.61,12.2,0.43,0.78,0.17,4.6,0.00
CJ Daniels,LSU,Miss,Miss,-,-,179,5.86,200,8.29,36.06,2.44,14.8,0.38,0.00,0.00,0.0,0.00
Andrel Anthony,Oklahoma,Tex,Tex,-,-,180,5.82,197,8.36,44.38,2.54,17.5,0.23,0.00,0.00,0.0,0.00
Chedon James,Fresno State,WashSt,WashSt,-,-,181,5.81,150,9.65,43.68,3.84,11.4,0.24,0.00,0.00,0.0,0.00
Steven McBride,Hawaii,Boise,Boise,-,-,182,5.80,203,8.20,36.62,2.40,15.3,0.36,0.00,0.00,0.0,0.00
Kenari Wilcher,Illinois,Purdue,Purdue,-,-,183,5.77,140,9.94,47.75,4.17,11.5,0.17,0.00,0.00,0.0,0.00
Chase Lane,Georgia Tech,UNC,GaTech,-,-,184,5.74,190,8.52,40.74,2.78,14.7,0.28,0.00,0.00,0.0,0.00
Hudson Clement,West Virginia,IaSt,IaSt,-,-,185,5.71,240,7.44,38.13,1.74,21.9,0.32,0.00,0.00,0.0,0.00
Isiah Paige,Old Dominion,GaSt,ODU,-,-,186,5.70,155,9.52,40.36,3.82,10.6,0.27,0.27,0.09,3.0,0.00
Javon Tracy,Miami (OH),EastMi,Mia-O,-,-,187,5.66,212,8.03,40.27,2.36,17.1,0.27,0.00,0.00,0.0,0.00
Jaden Bray,West Virginia,IaSt,IaSt,-,-,188,5.65,226,7.79,35.20,2.13,16.5,0.36,0.00,0.00,0.0,0.00
Adrian Norton,Akron,WestMI,Akron,-,-,189,5.61,160,9.43,39.73,3.82,10.4,0.27,0.00,0.00,0.0,0.00
Kaleb Brown,Iowa,Wash,Wash,-,-,190,5.60,179,8.73,44.69,3.13,14.3,0.18,0.54,0.09,6.0,0.00
Naseim Brantley,Rutgers,Wisc,Wisc,-,-,191,5.59,205,8.18,34.46,2.59,13.3,0.36,0.00,0.00,0.0,0.00
Jesse Prewitt III,Central Michigan,Ohio,Ohio,-,-,192,5.56,206,8.15,36.29,2.58,14.1,0.32,0.00,0.00,0.0,0.00
Cadarrius Thompson,Georgia State,ODU,ODU,-,-,193,5.54,191,8.52,36.05,2.98,12.1,0.32,0.00,0.00,0.0,0.00
