,,Week 13 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Cam Fancher,Florida Atlantic,Char,Char,-,-,79,16.38,79,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,Tex,Kty,-,-,80,16.34,80,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Kyle McCord,Syracuse,UConn,UConn,-,-,81,16.24,81,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Maalik Murphy,Duke,VaTech,VaTech,-,-,82,16.20,82,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,UL-Laf,Troy,-,-,83,16.04,83,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Evan Svoboda,Wyoming,Boise,Boise,-,-,84,15.88,84,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,WashSt,WashSt,-,-,85,15.73,85,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Ethan Garbers,UCLA,USC,USC,-,-,86,15.55,86,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
Davis Bryson,Kennesaw State,FIU,FIU,-,-,87,15.42,87,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Bryson Daily,Army,ND,ND,-,-,88,15.31,88,15.31,79.44,0.59,0.59,15.2,67.60,17.80,3.8,0.50
Hayden Wolff,Western Michigan,CentMi,WestMI,-,-,89,15.13,89,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,Nevada,AF,-,-,90,15.04,90,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,Lou,Pitt,-,-,91,14.86,91,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,USA,USA,-,-,92,14.84,92,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,Ill,Ill,-,-,93,14.32,93,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
Owen McCown,UTSA,Temple,Temple,-,-,94,14.29,94,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
General Booty,Louisiana-Monroe,ArkSt,UL-Mon,-,-,95,14.18,95,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,Wyo,Boise,-,-,96,14.16,97,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Jake Retzlaff,BYU,AriSt,BYU,-,-,97,14.16,96,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,BGSU,BGSU,-,-,98,13.79,98,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,KentSt,Akron,-,-,99,13.59,99,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,Stan,Stan,-,-,100,13.58,100,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,NW,NW,-,-,101,13.50,101,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Joe Labas,Central Michigan,WestMI,WestMI,-,-,102,13.45,102,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,Mia-Fl,Wake,-,-,103,13.10,103,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,MD,Iowa,-,-,104,13.03,104,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,UGa,UMass,-,-,105,12.94,105,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,Wisc,Wisc,-,-,106,12.92,106,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,BC,UNC,-,-,107,12.80,107,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,PSU,PSU,-,-,108,12.50,108,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Cole Snyder,Eastern Michigan,Buff,Buff,-,-,109,12.15,109,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Connor Bazelak,Bowling Green,BallSt,BGSU,-,-,110,11.44,110,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,App,JMU,-,-,111,11.25,111,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,USF,Tulsa,-,-,112,11.11,112,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,Mia-O,NIU,-,-,113,11.01,113,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
Sam Leavitt,Arizona State,BYU,BYU,-,-,114,10.95,114,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,UtahSt,SDSU,-,-,115,10.88,115,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,EastMi,Buff,-,-,116,10.81,116,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,Mich,NW,-,-,117,10.48,117,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,AF,AF,-,-,118,10.37,118,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Ben Wooldridge,Louisiana-Lafayette,Troy,Troy,-,-,119,10.29,119,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Devin Kargman,Kent,Akron,Akron,-,-,120,10.23,120,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Joseph Fagnano,UConn,Syr,UConn,-,-,121,10.10,121,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
Chandler Fields,Louisiana-Lafayette,Troy,Troy,-,-,122,9.76,122,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
MJ Morris,Maryland,Iowa,Iowa,-,-,123,9.72,123,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Cade McConnell,UTEP,Tenn,UTEP,-,-,124,9.43,124,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,TxSt,GaSt,-,-,125,9.05,125,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,USF,Tulsa,-,-,126,8.95,126,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,NorTx,ECU,-,-,127,8.93,127,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,Tx-SA,Temple,-,-,128,8.90,128,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,BC,UNC,-,-,129,8.69,129,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,UNLV,UNLV,-,-,130,8.40,130,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,Stan,Stan,-,-,131,8.32,131,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,EastMi,Buff,-,-,132,7.98,132,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,UNLV,UNLV,-,-,133,7.97,133,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,Tenn,UTEP,-,-,134,5.94,134,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Cole Pennington,Marshall,ODU,Marsh,-,-,135,5.70,135,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,ODU,Marsh,-,-,136,5.67,136,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Alonza Barnett,James Madison,App,JMU,-,-,137,5.64,137,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Beau Pribula,Penn State,Minn,PSU,-,-,138,5.60,138,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Jake Garcia,East Carolina,NorTx,ECU,-,-,139,5.47,139,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Santino Marucci,New Mexico State,MiddTn,NMSt,-,-,140,5.45,140,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,Temple,Temple,-,-,141,5.43,141,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,TxSt,GaSt,-,-,142,5.22,142,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,MiddTn,NMSt,-,-,143,5.16,143,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Stone Earle,Marshall,ODU,Marsh,-,-,144,5.14,144,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Brady Lichtenberg,Cincinnati,KanSt,Cin,-,-,145,4.68,145,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,OreSt,WashSt,-,-,146,4.66,146,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Chubba Purdy,Nevada,AF,AF,-,-,147,4.56,147,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,SamHou,SamHou,-,-,148,4.44,148,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Deuce Hogan,New Mexico State,MiddTn,NMSt,-,-,149,4.32,149,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Billy Edwards,Maryland,Iowa,Iowa,-,-,150,4.29,150,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Jalen Macon,Northern Illinois,Mia-O,NIU,-,-,151,4.25,151,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,Tx-SA,Temple,-,-,152,4.01,152,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,BallSt,BGSU,-,-,153,3.96,153,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,Mich,NW,-,-,154,3.77,154,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,AriSt,BYU,-,-,155,3.52,155,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Jeff Sims,Arizona State,BYU,BYU,-,-,156,3.35,156,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,OkSt,TxTch,-,-,157,3.33,157,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,NW,NW,-,-,158,2.70,158,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Bert Emanuel,Central Michigan,WestMI,WestMI,-,-,159,2.62,159,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,AriSt,BYU,-,-,160,2.58,160,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,Wisc,Wisc,-,-,161,2.57,161,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,Tex,Kty,-,-,162,2.49,162,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,Mich,NW,-,-,163,2.42,163,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,LSU,Vandy,-,-,164,2.41,164,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Syr,UConn,-,-,165,2.30,165,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,VaTech,VaTech,-,-,166,2.25,166,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Caden Veltkamp,Western Kentucky,Lib,WestKy,-,-,167,2.24,167,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Cameron Edge,Maryland,Iowa,Iowa,-,-,168,2.07,168,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,Mia-Fl,Wake,-,-,169,2.07,169,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Colin Parachek,Marshall,ODU,Marsh,-,-,170,2.01,170,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,Hou,Baylor,-,-,171,1.69,171,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,Pitt,Pitt,-,-,172,1.61,172,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Steve Angeli,Notre Dame,Army,ND,-,-,173,1.59,173,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Elijah Brown,Stanford,Cal,Stan,-,-,174,1.56,174,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,WashSt,WashSt,-,-,175,1.50,175,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Devin Brown,Ohio State,Ind,Ind,-,-,176,1.41,176,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,Cal,Stan,-,-,177,1.38,177,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,Okla,Ala,-,-,178,1.37,178,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Brock Glenn,Florida State,ChSou,ChSou,-,-,179,1.35,179,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,Duke,VaTech,-,-,180,1.30,180,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,SMU,SMU,-,-,181,1.25,181,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,Temple,Temple,-,-,182,1.24,182,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,UCLA,USC,-,-,183,1.24,183,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Justyn Martin,UCLA,USC,USC,-,-,184,1.14,184,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Bryson Barnes,Utah State,SDSU,SDSU,-,-,185,1.12,185,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,USA,USA,-,-,186,1.09,186,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,CoastC,GaSo,-,-,187,1.04,187,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,WestKy,WestKy,-,-,188,1.02,188,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Gabarri Johnson,Oregon State,WashSt,WashSt,-,-,189,1.00,189,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,FlaAtl,Char,-,-,190,0.99,191,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,UMass,UMass,-,-,191,0.99,190,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Neb,Wisc,-,-,192,0.88,192,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,Kty,Kty,-,-,193,0.82,193,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,Cin,Cin,-,-,194,0.78,194,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
