,,Week 10 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Graham Mertz,Florida,UGa,Fla,-,-,53,17.96,53,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Alan Bowman,Oklahoma State,AriSt,AriSt,-,-,54,17.88,54,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,IaSt,TxTch,-,-,55,17.87,55,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Hudson Card,Purdue,NW,NW,-,-,56,17.84,56,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Will Rogers,Washington,USC,USC,-,-,57,17.47,57,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Diego Pavia,Vanderbilt,Auburn,Vandy,-,-,58,17.25,58,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Payton Thorne,Auburn,Vandy,Vandy,-,-,59,17.10,59,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,Iowa,Wisc,-,-,60,17.08,60,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,Tulane,Tulane,-,-,61,16.95,61,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,NMSt,NMSt,-,-,62,16.54,62,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,App,ODU,-,-,63,16.51,63,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Cam Fancher,Florida Atlantic,USF,USF,-,-,64,16.38,64,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,Tenn,Kty,-,-,65,16.34,65,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Kyle McCord,Syracuse,VaTech,VaTech,-,-,66,16.24,66,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Maalik Murphy,Duke,Mia-Fl,Duke,-,-,67,16.20,67,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,CoastC,CoastC,-,-,68,16.04,68,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,Char,Tulane,-,-,69,16.01,69,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,NM,Wyo,-,-,70,15.88,70,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Ethan Garbers,UCLA,Neb,UCLA,-,-,71,15.55,71,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
Davis Bryson,Kennesaw State,WestKy,KennSt,-,-,72,15.42,72,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Bryson Daily,Army,AF,AF,-,-,73,15.31,73,15.31,79.44,0.59,0.59,15.2,67.60,17.80,3.8,0.50
John Busha,Air Force,Army,AF,-,-,74,15.04,74,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,SMU,Pitt,-,-,75,14.86,75,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Owen McCown,UTSA,Mem,Mem,-,-,76,14.29,76,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
General Booty,Louisiana-Monroe,Marsh,UL-Mon,-,-,77,14.18,77,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,SDSU,SDSU,-,-,78,14.16,78,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Ben Finley,Akron,Buff,Buff,-,-,79,13.59,79,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Alex Orji,Michigan,Oregon,Oregon,-,-,80,13.50,80,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Cade McNamara,Iowa,Wisc,Wisc,-,-,81,13.03,81,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,MissSt,UMass,-,-,82,12.94,82,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,UCLA,UCLA,-,-,83,12.92,83,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,FlaSt,UNC,-,-,84,12.80,84,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,Ill,Minn,-,-,85,12.50,85,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Blake Horvath,Navy,Rice,Navy,-,-,86,12.50,86,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Cole Snyder,Eastern Michigan,Toledo,Toledo,-,-,87,12.15,87,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Cardell Williams,Tulsa,UAB,Tulsa,-,-,88,11.11,88,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Sam Leavitt,Arizona State,OkSt,AriSt,-,-,89,10.95,89,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,Boise,SDSU,-,-,90,10.88,90,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,Akron,Buff,-,-,91,10.81,91,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,Purdue,NW,-,-,92,10.48,92,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,ColoSt,ColoSt,-,-,93,10.37,93,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Ben Wooldridge,Louisiana-Lafayette,TxSt,UL-Laf,-,-,94,10.29,94,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Joseph Fagnano,UConn,GaSt,GaSt,-,-,95,10.10,95,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
Chandler Fields,Louisiana-Lafayette,TxSt,UL-Laf,-,-,96,9.76,96,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
Cade McConnell,UTEP,MiddTn,MiddTn,-,-,97,9.43,97,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,UConn,GaSt,-,-,98,9.05,98,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,UAB,Tulsa,-,-,99,8.95,99,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Max Johnson,North Carolina,FlaSt,UNC,-,-,100,8.69,100,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
CJ Ogbonna,Buffalo,Akron,Buff,-,-,101,7.98,101,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Skyler Locklear,UTEP,MiddTn,MiddTn,-,-,102,5.94,102,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Cole Pennington,Marshall,UL-Mon,UL-Mon,-,-,103,5.70,103,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,UL-Mon,UL-Mon,-,-,104,5.67,104,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Beau Pribula,Penn State,OhioSt,OhioSt,-,-,105,5.60,105,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Santino Marucci,New Mexico State,FIU,NMSt,-,-,106,5.45,106,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,Mem,Mem,-,-,107,5.43,107,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,UConn,GaSt,-,-,108,5.22,108,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,FIU,NMSt,-,-,109,5.16,109,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Stone Earle,Marshall,UL-Mon,UL-Mon,-,-,110,5.14,110,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Chubba Purdy,Nevada,ColoSt,ColoSt,-,-,111,4.56,111,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,Lib,JacSt,-,-,112,4.44,112,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Deuce Hogan,New Mexico State,FIU,NMSt,-,-,113,4.32,113,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Jack Lausch,Northwestern,Purdue,NW,-,-,114,3.77,114,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Jeff Sims,Arizona State,OkSt,AriSt,-,-,115,3.35,115,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,IaSt,TxTch,-,-,116,3.33,116,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,Oregon,Oregon,-,-,117,2.70,117,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Heinrich Haarberg,Nebraska,UCLA,UCLA,-,-,118,2.57,118,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,Tenn,Kty,-,-,119,2.49,119,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,Purdue,NW,-,-,120,2.42,120,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,Auburn,Vandy,-,-,121,2.41,121,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,GaSt,GaSt,-,-,122,2.30,122,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,Mia-Fl,Duke,-,-,123,2.25,123,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Caden Veltkamp,Western Kentucky,KennSt,KennSt,-,-,124,2.24,124,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Kai Horton,Tulane,Char,Tulane,-,-,125,2.22,125,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Colin Parachek,Marshall,UL-Mon,UL-Mon,-,-,126,2.01,126,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,TCU,TCU,-,-,127,1.69,127,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,Clem,Lou,-,-,128,1.61,128,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Elijah Brown,Stanford,NCSU,Stan,-,-,129,1.56,129,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Devin Brown,Ohio State,PSU,OhioSt,-,-,130,1.41,130,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,NCSU,Stan,-,-,131,1.38,131,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Brock Glenn,Florida State,UNC,UNC,-,-,132,1.35,132,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,Syr,VaTech,-,-,133,1.30,133,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Dematrius Davis,UTSA,Mem,Mem,-,-,134,1.24,134,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,Wash,USC,-,-,135,1.24,135,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Justyn Martin,UCLA,Neb,UCLA,-,-,136,1.14,137,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Dante Moore,Oregon,Mich,Oregon,-,-,137,1.14,136,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Dexter Williams,Georgia Southern,USA,GaSo,-,-,138,1.04,138,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,JacSt,JacSt,-,-,139,1.02,139,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Trexler Ivey,UNC Charlotte,Tulane,Tulane,-,-,140,0.99,141,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,Fla,Fla,-,-,141,0.99,140,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Iowa,Wisc,-,-,142,0.88,142,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Ta'Quan Roberson,Kansas State,Hou,KanSt,-,-,143,0.78,143,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
AJ Padgett,Rice,Navy,Navy,-,-,144,0.75,144,0.75,6.00,0.13,0.00,9.5,0.13,0.25,0.5,0.00
Hunter Herring,Louisiana-Monroe,Marsh,UL-Mon,-,-,145,0.74,145,0.74,6.53,0.06,0.06,12.3,2.41,0.53,4.5,0.00
Jaylen Henderson,Texas A&M,SCar,TexA&M,-,-,146,0.68,146,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,KanSt,KanSt,-,-,147,0.65,147,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,Buff,Buff,-,-,148,0.62,148,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,MissSt,UMass,-,-,149,0.62,149,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Robby Ashford,South Carolina,TexA&M,TexA&M,-,-,150,0.60,150,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Kevin Jennings,SMU,Pitt,Pitt,-,-,151,0.57,151,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,WestKy,KennSt,-,-,152,0.55,152,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
JJ Kohl,Iowa State,TxTch,TxTch,-,-,153,0.54,153,0.54,7.86,0.00,0.00,13.8,2.29,0.57,4.0,0.00
RJ Martinez,Texas State,UL-Laf,UL-Laf,-,-,154,0.54,154,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,App,ODU,-,-,155,0.53,155,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Malachi Singleton,Arkansas,Miss,Miss,-,-,156,0.49,156,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Tyriq Starks,Florida Atlantic,USF,USF,-,-,157,0.48,157,0.48,12.10,0.00,0.00,10.1,0.00,0.40,0.0,0.00
Eli Holstein,Pittsburgh,SMU,Pitt,-,-,158,0.47,159,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
John Alan Richter,Toledo,EastMi,Toledo,-,-,159,0.47,158,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
Jacurri Brown,Central Florida,Ari,Ari,-,-,160,0.46,161,0.46,6.57,0.00,0.00,9.3,2.00,0.57,3.5,0.00
Drew Viotto,Eastern Michigan,Toledo,Toledo,-,-,161,0.46,160,0.46,5.86,0.00,0.00,10.3,2.29,1.43,1.6,0.00
Evan Bullock,Louisiana Tech,SamHou,LaTech,-,-,162,0.45,162,0.45,6.88,0.00,0.00,10.9,1.75,1.13,1.5,0.00
CJ Bailey,North Carolina State,Stan,Stan,-,-,163,0.44,163,0.44,7.00,0.00,0.00,12.3,1.57,0.57,2.8,0.00
Walker Howard,Mississippi,Ark,Miss,-,-,164,0.44,164,0.44,8.75,0.00,0.00,13.9,0.88,0.38,2.3,0.00
Noah Kim,Coastal Carolina,Troy,CoastC,-,-,165,0.43,165,0.43,7.14,0.00,0.00,12.5,1.43,0.57,2.5,0.00
DJ Lagway,Florida,UGa,Fla,-,-,166,0.40,167,0.40,7.13,0.00,0.00,11.3,1.13,0.38,3.0,0.00
Xavier Williams,Middle Tenn. St,UTEP,MiddTn,-,-,167,0.40,166,0.40,6.63,0.00,0.00,10.5,1.38,0.38,3.6,0.00
Cade Cunningham,Memphis,Tx-SA,Mem,-,-,168,0.39,169,0.39,7.44,0.00,0.00,11.1,0.89,0.33,2.7,0.00
Trent Pearman,Clemson,Lou,Lou,-,-,169,0.39,170,0.39,6.33,0.00,0.00,9.4,1.33,0.56,2.4,0.00
Casey Thompson,Oklahoma,Maine,Maine,-,-,170,0.39,171,0.39,8.88,0.00,0.00,14.1,0.38,0.50,0.8,0.00
Joshua Wood,Fresno State,Hawaii,Hawaii,-,-,171,0.39,168,0.39,7.33,0.00,0.00,10.9,1.00,0.22,4.5,0.00
Tucker Kilcrease,Troy,CoastC,CoastC,-,-,172,0.37,172,0.37,7.14,0.00,0.00,12.5,0.86,0.43,2.0,0.00
Bishop Davenport,South Alabama,GaSo,GaSo,-,-,173,0.36,174,0.36,7.25,0.00,0.00,11.5,0.75,0.25,3.0,0.00
Brendan Sullivan,Iowa,Wisc,Wisc,-,-,174,0.36,173,0.36,5.71,0.00,0.00,10.0,1.29,0.71,1.8,0.00
Tayven Jackson,Indiana,MSU,Ind,-,-,175,0.34,177,0.34,7.38,0.00,0.00,11.7,0.50,0.50,1.0,0.00
Chris Parson,Mississippi State,UMass,UMass,-,-,176,0.34,175,0.34,7.86,0.00,0.00,13.8,0.29,0.57,0.5,0.00
Billy Wiles,Appalachian State,ODU,ODU,-,-,177,0.34,176,0.34,7.13,0.00,0.00,14.3,0.50,0.50,1.0,0.00
Marcos Davila,Purdue,NW,NW,-,-,178,0.33,178,0.33,6.13,0.00,0.00,12.3,0.88,0.50,1.8,0.00
Brayden Dorman,Arizona,UCF,Ari,-,-,179,0.32,180,0.32,7.11,0.00,0.00,12.7,0.33,0.67,0.5,0.00
Tommy Schuster,Michigan State,Ind,Ind,-,-,180,0.32,182,0.32,6.86,0.00,0.00,12.0,0.43,0.57,0.8,0.00
Ken Seals,TCU,Baylor,TCU,-,-,181,0.32,181,0.32,7.00,0.00,0.00,12.5,0.44,0.56,0.8,0.00
Demond Williams,Washington,USC,USC,-,-,182,0.32,179,0.32,7.63,0.00,0.00,10.2,0.13,0.25,0.5,0.00
Zane Flores,Oklahoma State,AriSt,AriSt,-,-,183,0.30,184,0.30,7.00,0.00,0.00,11.7,0.20,0.20,1.0,0.00
Donovan Leary,Illinois,Minn,Minn,-,-,184,0.30,185,0.30,6.50,0.00,0.00,10.3,0.38,0.38,1.0,0.00
Drake Lindsay,Minnesota,Ill,Minn,-,-,185,0.30,186,0.30,6.17,0.00,0.00,12.3,0.50,0.67,0.7,0.00
Gaston Moore,Tennessee,Kty,Kty,-,-,186,0.30,183,0.30,6.25,0.00,0.00,12.5,0.50,0.38,1.3,0.00
Jackson Brousseau,Colorado State,Nevada,ColoSt,-,-,187,0.29,187,0.29,6.90,0.00,0.00,11.5,0.10,0.30,0.3,0.00
Micah Alejado,Hawaii,Fres,Hawaii,-,-,188,0.28,188,0.28,6.60,0.00,0.00,11.0,0.20,0.20,1.0,0.00
Grant Gunnell,Sam Houston,LaTech,LaTech,-,-,189,0.28,189,0.28,6.00,0.00,0.00,10.7,0.44,0.89,0.5,0.00
Jayden Clemons,Wyoming,NM,Wyo,-,-,190,0.27,190,0.27,5.75,0.00,0.00,11.5,0.38,0.38,1.0,0.00
Holden Geriner,Auburn,Vandy,Vandy,-,-,191,0.26,191,0.26,7.33,0.00,0.00,10.9,-0.33,0.33,-1.0,0.00
Landry Lyddy,UAB,Tulsa,Tulsa,-,-,192,0.23,192,0.23,5.78,0.00,0.00,8.6,0.00,0.44,0.0,0.00
