,,Week 4 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Donovan Green,Texas A&M,BGSU,BGSU,-,-,62,3.98,67,5.95,24.34,1.97,12.4,0.26,0.00,0.00,0.0,0.00
Colin Weber,UNC Charlotte,Ind,Char,-,-,63,3.98,47,6.90,34.83,2.92,11.9,0.08,0.00,0.00,0.0,0.00
Jack Endries,California,FlaSt,Cal,-,-,64,3.97,57,6.46,29.07,2.49,11.7,0.18,0.00,0.00,0.0,0.00
Preston Howard,Maryland,Vill,Vill,-,-,65,3.95,62,6.22,28.55,2.27,12.6,0.18,0.00,0.00,0.0,0.00
Gavin Bartholomew,Pittsburgh,YSU,YSU,-,-,66,3.94,68,5.94,21.40,2.00,10.7,0.30,0.00,0.00,0.0,0.00
Anthony Landphere,Memphis,Navy,Mem,-,-,67,3.84,63,6.18,20.85,2.34,8.9,0.29,0.00,0.00,0.0,0.00
Manny Stevenson,Arkansas State,IaSt,ArkSt,-,-,68,3.81,56,6.48,20.95,2.67,7.8,0.29,0.00,0.00,0.0,0.00
Eli Stowers,Vanderbilt,Missou,Vandy,-,-,69,3.79,71,5.75,21.00,1.95,10.8,0.15,3.45,0.98,3.5,0.08
Luke McGary,Tulsa,LaTech,Tulsa,-,-,70,3.69,80,5.06,18.00,1.37,13.1,0.32,0.00,0.00,0.0,0.00
Jake Boust,Fresno State,NM,Fres,-,-,71,3.62,74,5.52,17.29,1.89,9.1,0.32,0.00,0.00,0.0,0.00
Jared Casey,Kansas,WVU,Kansas,-,-,72,3.59,73,5.59,20.92,2.00,10.5,0.25,0.00,0.00,0.0,0.00
Broc Lane,Utah State,Temple,UtahSt,-,-,73,3.54,66,6.02,25.76,2.48,10.4,0.16,0.00,0.00,0.0,0.00
Keleki Latu,Washington,NW,NW,-,-,74,3.51,72,5.73,19.63,2.23,8.8,0.26,0.00,0.00,0.0,0.00
Jermaine Terry,Oregon State,Purdue,Purdue,-,-,75,3.45,78,5.15,19.86,1.70,11.7,0.24,0.00,0.00,0.0,0.00
Mason Tharp,Texas Tech,AriSt,AriSt,-,-,76,3.41,77,5.17,18.18,1.76,10.3,0.26,0.00,0.00,0.0,0.00
Kyle Morlock,Florida State,Cal,Cal,-,-,77,3.37,75,5.27,20.49,1.90,10.8,0.22,0.00,0.00,0.0,0.00
Nick Gallo,Virginia Tech,Rut,Rut,-,-,78,3.36,70,5.82,22.73,2.45,9.3,0.18,0.00,0.00,0.0,0.00
