,,Week 6 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Jordan Waters,North Carolina State,Wake,Wake,-,-,38,12.89,41,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Jarquez Hunter,Auburn,UGa,Auburn,-,-,39,12.63,38,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Ja'Quinden Jackson,Arkansas,Tenn,Tenn,-,-,40,12.55,40,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Montrell Johnson,Florida,UCF,UCF,-,-,41,12.47,34,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Quali Conley,Arizona,TxTch,TxTch,-,-,42,12.25,39,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,Syr,Syr,-,-,43,12.14,50,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,Hou,Hou,-,-,44,12.12,54,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Raheim Sanders,South Carolina,Miss,Miss,-,-,45,11.77,42,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,Wisc,Purdue,-,-,46,11.73,48,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Jaquez Moore,Duke,GaTech,Duke,-,-,47,11.66,56,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,USA,USA,-,-,48,11.65,45,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Parker Jenkins,Houston,TCU,Hou,-,-,49,11.60,57,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Noah Whittington,Oregon,MSU,MSU,-,-,50,11.48,47,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Rodrigues Clark,Southern Miss,UL-Laf,UL-Laf,-,-,51,11.46,51,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Braylon McReynolds,South Alabama,ArkSt,USA,-,-,52,11.44,46,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Anthony Hankerson,Oregon State,ColoSt,ColoSt,-,-,53,11.30,49,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Jacory Croskey-Merritt,Arizona,TxTch,TxTch,-,-,54,11.28,52,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,UCLA,UCLA,-,-,55,11.23,68,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,Army,Army,-,-,56,11.11,66,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,App,App,-,-,57,11.06,53,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,Lou,SMU,-,-,58,11.04,62,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Marquez Cooper,San Diego State,Hawaii,Hawaii,-,-,59,10.97,44,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
Jevon Jackson,UTEP,SamHou,SamHou,-,-,60,10.91,76,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,OreSt,ColoSt,-,-,61,10.91,65,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,KennSt,JacSt,-,-,62,10.88,61,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,Vandy,Ala,-,-,63,10.86,60,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
Ayo Adeyi,James Madison,UL-Mon,JMU,-,-,64,10.84,73,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,Oregon,MSU,-,-,65,10.81,67,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Rahsul Faison,Utah State,Boise,UtahSt,-,-,66,10.81,72,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,WestMI,WestMI,-,-,67,10.78,63,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,SMU,SMU,-,-,68,10.74,55,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Dylan Carson,Air Force,Navy,Navy,-,-,69,10.66,96,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,UtahSt,UtahSt,-,-,70,10.58,69,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Damien Taylor,Troy,TxSt,TxSt,-,-,71,10.42,70,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Demond Claiborne,Wake Forest,NCSU,Wake,-,-,72,10.41,85,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Kye Robichaux,Boston College,UVa,BC,-,-,73,10.33,64,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Lee Beebe,UAB,Tulane,Tulane,-,-,74,10.26,71,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Le'Veon Moss,Texas A&M,Missou,Missou,-,-,75,10.22,82,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,Clem,Clem,-,-,76,10.18,80,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Ulysses Bentley IV,Mississippi,SCar,Miss,-,-,77,10.03,88,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,PSU,UCLA,-,-,78,10.03,58,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,JMU,JMU,-,-,79,10.03,97,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Cartevious Norton,UNC Charlotte,ECU,ECU,-,-,80,9.87,81,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Armoni Goodwin,UAB,Tulane,Tulane,-,-,81,9.81,93,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,Wisc,Purdue,-,-,82,9.81,83,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,Kansas,Kansas,-,-,83,9.77,92,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Trey Sanders,TCU,Hou,Hou,-,-,84,9.75,84,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Dominic Richardson,Baylor,IaSt,Baylor,-,-,85,9.69,74,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,UNC,Pitt,-,-,86,9.65,78,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,Nevada,Nevada,-,-,87,9.63,87,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,Ind,Ind,-,-,88,9.61,89,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,ArkSt,USA,-,-,89,9.60,90,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Michael Benefield,Kennesaw State,JacSt,JacSt,-,-,90,9.55,107,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
CJ Donaldson,West Virginia,OkSt,WVU,-,-,91,9.53,106,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,NW,Ind,-,-,92,9.51,75,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,ODU,ODU,-,-,93,9.44,79,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),Toledo,Mia-O,-,-,94,9.43,103,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,OhioSt,Iowa,-,-,95,9.42,100,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,Temple,Temple,-,-,96,9.41,94,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,Fla,UCF,-,-,97,9.40,104,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,GaTech,Duke,-,-,98,9.40,95,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Treshaun Ward,Boston College,UVa,BC,-,-,99,9.24,91,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,Rut,Rut,-,-,100,9.19,99,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,SCar,Miss,-,-,101,9.13,108,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,Purdue,Purdue,-,-,102,9.12,102,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Lawrance Toafili,Florida State,Clem,Clem,-,-,103,9.06,86,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Dre'lyn Washington,Louisiana-Lafayette,SouMis,UL-Laf,-,-,104,9.04,110,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Isaiah Jacobs,UAB,Tulane,Tulane,-,-,105,8.91,77,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
John Gentry,Sam Houston,UTEP,SamHou,-,-,106,8.79,59,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Kobe Pace,Virginia,BC,BC,-,-,107,8.76,101,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,ColoSt,ColoSt,-,-,108,8.74,105,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,SJSU,Nevada,-,-,109,8.67,111,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
LJ Johnson Jr.,SMU,Lou,SMU,-,-,110,8.61,115,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Jordon Simmons,Akron,BGSU,BGSU,-,-,111,8.28,109,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,Auburn,Auburn,-,-,112,8.27,118,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anderson Castle,Appalachian State,Marsh,App,-,-,113,8.18,119,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,WestMI,WestMI,-,-,114,8.17,125,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,AriSt,Kansas,-,-,115,8.15,124,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,USA,USA,-,-,116,8.08,126,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Rayshon Luke,Arizona,TxTch,TxTch,-,-,117,8.05,113,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Robert Briggs,Utah State,Boise,UtahSt,-,-,118,7.95,122,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Gerald Green,Troy,TxSt,TxSt,-,-,119,7.89,116,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Desmond Reid,Pittsburgh,UNC,Pitt,-,-,120,7.83,112,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,CoastC,ODU,-,-,121,7.81,130,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Nate Noel,Missouri,TexA&M,Missou,-,-,122,7.79,121,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,Ark,Tenn,-,-,123,7.79,117,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Sedrick Irvin,Stanford,VaTech,VaTech,-,-,124,7.69,98,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,KennSt,JacSt,-,-,125,7.66,127,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,SCar,Miss,-,-,126,7.54,142,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,Cal,Mia-Fl,-,-,127,7.48,128,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,Syr,Syr,-,-,128,7.45,137,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,SouMis,UL-Laf,-,-,129,7.45,148,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,JMU,JMU,-,-,130,7.45,144,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,App,App,-,-,131,7.42,131,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Benjamin Hall,Michigan,Wash,Mich,-,-,132,7.37,141,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,Ala,Ala,-,-,133,7.35,120,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,Oregon,MSU,-,-,134,7.34,133,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,Ala,Ala,-,-,135,7.28,140,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,SMU,SMU,-,-,136,7.22,114,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,NIU,UMass,-,-,137,7.20,135,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,FlaSt,Clem,-,-,138,7.19,146,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,BallSt,WestMI,-,-,139,7.18,132,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Kenyon Clay,Southern Miss,UL-Laf,UL-Laf,-,-,140,7.13,139,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Treyaun Webb,Florida,UCF,UCF,-,-,141,7.09,138,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,Mia-Fl,Mia-Fl,-,-,142,7.08,134,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,UMass,UMass,-,-,143,7.05,123,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,NCSU,Wake,-,-,144,6.97,151,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Ja'Vin Simpkins,Coastal Carolina,ODU,ODU,-,-,145,6.92,150,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Aiden Calvert,Air Force,Navy,Navy,-,-,146,6.91,157,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Kenny Tracy,Miami (OH),Toledo,Mia-O,-,-,147,6.84,149,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,Mich,Mich,-,-,148,6.83,136,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Rahjai Harris,East Carolina,Char,ECU,-,-,149,6.78,147,7.76,35.84,9.00,4.0,0.33,7.45,0.98,7.6,0.08
Jay Ducker,Sam Houston,UTEP,SamHou,-,-,150,6.76,152,7.37,38.00,10.00,3.8,0.43,3.48,0.61,5.7,0.00
Eli Heidenreich,Navy,AF,Navy,-,-,151,6.72,129,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Kanye Udoh,Army,Tulsa,Army,-,-,152,6.65,166,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Kaelon Black,Indiana,NW,Ind,-,-,153,6.49,143,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
CJ Hester,Massachusetts,NIU,UMass,-,-,154,6.38,145,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Victor Rosa,UConn,Temple,Temple,-,-,155,6.36,154,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Pat Garwo,Nevada,SJSU,Nevada,-,-,156,6.34,160,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Quinten Joyner,USC,Minn,USC,-,-,157,6.34,164,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
Bill Jackson,Tulsa,Army,Army,-,-,158,6.30,158,7.16,47.35,11.00,4.3,0.17,5.33,0.86,6.2,0.00
Bryce Duke,Old Dominion,CoastC,ODU,-,-,159,6.24,163,6.89,32.91,7.00,4.7,0.32,5.39,0.64,8.4,0.08
Dawson Pendergrass,Baylor,IaSt,Baylor,-,-,160,6.22,156,7.25,30.31,7.00,4.3,0.32,8.03,1.03,7.8,0.08
George Pettaway,James Madison,UL-Mon,JMU,-,-,161,6.18,162,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Marquese Williams,Akron,BGSU,BGSU,-,-,162,6.11,153,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
Ron Wiggins,Jacksonville State,KennSt,JacSt,-,-,163,6.10,165,6.84,35.81,7.00,5.1,0.33,5.70,0.73,7.8,0.00
Kendrick Raphael,North Carolina State,Wake,Wake,-,-,164,6.02,161,6.97,41.37,9.00,4.6,0.17,8.48,0.95,8.9,0.00
Trey Cooley,Georgia Tech,Duke,Duke,-,-,165,5.98,159,7.02,30.74,7.00,4.4,0.24,9.74,1.05,9.3,0.08
Emmett Johnson,Nebraska,Rut,Rut,-,-,166,5.93,170,6.35,41.75,9.00,4.6,0.25,2.58,0.42,6.1,0.00
Alexander Diggs,Kennesaw State,JacSt,JacSt,-,-,167,5.77,172,6.12,38.51,8.00,4.8,0.26,3.34,0.35,9.5,0.00
Jadan Baugh,Florida,UCF,UCF,-,-,168,5.72,171,6.26,36.17,7.00,5.2,0.27,4.85,0.54,9.0,0.00
Zylan Perry,Louisiana-Lafayette,SouMis,UL-Laf,-,-,169,5.56,175,5.88,29.43,7.00,4.2,0.32,2.31,0.32,7.2,0.08
Branson Robinson,Georgia,Auburn,Auburn,-,-,170,5.52,173,5.93,26.80,5.00,5.4,0.41,3.77,0.41,9.2,0.00
Kaleb Johnson,Iowa,OhioSt,Iowa,-,-,171,5.48,176,5.82,36.42,9.00,4.0,0.25,3.06,0.34,9.0,0.00
Jaison Patterson,Bowling Green,Akron,BGSU,-,-,172,5.45,155,7.28,19.08,5.00,3.8,0.17,15.42,1.83,8.4,0.17
Tyrell Robinson,Army,Tulsa,Army,-,-,173,5.41,177,5.80,31.25,6.00,5.2,0.31,4.13,0.39,10.6,0.00
Landon Sims,Hawaii,SDSU,Hawaii,-,-,174,5.29,168,6.52,33.57,8.00,4.2,0.16,9.40,1.24,7.6,0.00
Javious Bond,East Carolina,Char,ECU,-,-,175,5.22,167,6.63,25.83,5.00,5.2,0.17,11.33,1.42,8.0,0.08
Stacy Sneed,Houston,TCU,Hou,-,-,176,5.19,174,5.90,36.42,7.00,5.2,0.18,4.87,0.71,6.9,0.00
Yasin Wllis,Syracuse,UNLV,Syr,-,-,177,5.17,179,5.74,32.31,7.00,4.6,0.24,4.72,0.57,8.3,0.00
Oscar Adaway III,South Carolina,Miss,Miss,-,-,178,5.09,180,5.66,32.23,7.00,4.6,0.24,3.99,0.57,7.0,0.00
Terrence Gist,Air Force,Navy,Navy,-,-,179,5.03,193,5.03,34.19,7.00,4.9,0.27,0.00,0.00,0.0,0.00
Joquez Smith,Temple,UConn,Temple,-,-,180,5.01,178,5.74,36.80,9.00,4.1,0.08,3.70,0.72,5.1,0.08
Samuel Brown,Rutgers,Neb,Rut,-,-,181,4.98,186,5.22,28.08,7.00,4.0,0.32,2.63,0.24,11.0,0.00
Corey Wren,UTEP,SamHou,SamHou,-,-,182,4.96,187,5.20,33.55,8.00,4.2,0.24,1.31,0.24,5.5,0.00
Jeremiah Cobb,Auburn,UGa,Auburn,-,-,183,4.93,181,5.62,26.00,5.00,5.2,0.23,4.85,0.69,7.0,0.08
Deion Hankins,Texas State,Troy,TxSt,-,-,184,4.88,185,5.35,30.55,6.00,5.1,0.24,4.03,0.47,8.6,0.00
Brandon Chatman,Navy,AF,Navy,-,-,185,4.85,169,6.46,17.97,5.00,3.6,0.08,20.34,1.61,12.6,0.08
Willie Shaw,Toledo,Mia-O,Mia-O,-,-,186,4.81,183,5.44,24.71,6.00,4.1,0.24,4.42,0.63,7.0,0.08
Keyon Mozee,Miami (OH),Toledo,Mia-O,-,-,187,4.80,188,5.15,28.06,6.00,4.7,0.26,4.06,0.35,11.6,0.00
Jaylon Armstead,San Diego State,Hawaii,Hawaii,-,-,188,4.74,189,5.14,30.66,7.00,4.4,0.24,2.25,0.40,5.6,0.00
Logan Diggs,Mississippi,SCar,Miss,-,-,189,4.68,184,5.35,22.17,4.00,5.5,0.25,4.67,0.67,7.0,0.08
Yesiah Clemons,Kennesaw State,JacSt,JacSt,-,-,190,4.50,203,4.67,28.03,6.00,4.7,0.27,0.81,0.18,4.5,0.00
Amari Daniels,Texas A&M,Missou,Missou,-,-,191,4.47,195,5.01,22.50,5.00,4.5,0.25,4.56,0.54,8.4,0.05
Damari Alston,Auburn,UGa,Auburn,-,-,192,4.46,192,5.05,30.59,6.00,5.1,0.17,3.89,0.59,6.6,0.00
Joseph Himon,Northwestern,Ind,Ind,-,-,193,4.46,182,5.58,22.80,6.00,3.8,0.16,7.36,1.12,6.6,0.08
