,,Week 14 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
RJ Martinez,Texas State,USA,TxSt,-,-,218,0.54,218,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,ArkSt,ODU,-,-,219,0.53,219,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Tommy Ulatowski,Kent,Buff,KentSt,-,-,220,0.53,220,0.53,6.13,0.06,0.06,12.3,0.38,0.19,2.0,0.00
Zach Pyron,Georgia Tech,UGa,GaTech,-,-,221,0.51,221,0.51,7.43,0.00,0.00,13.0,2.14,0.57,3.8,0.00
Sam Huard,Utah,UCF,Utah,-,-,222,0.50,222,0.50,7.47,0.06,0.06,12.7,-0.35,0.24,-1.5,0.00
Malachi Singleton,Arkansas,Missou,Ark,-,-,223,0.49,223,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Tyriq Starks,Florida Atlantic,Tulsa,FlaAtl,-,-,224,0.48,224,0.48,12.10,0.00,0.00,10.1,0.00,0.40,0.0,0.00
Hajj-Malik Williams,UNLV,Nevada,Nevada,-,-,225,0.48,225,0.48,8.00,0.00,0.00,14.0,1.57,0.57,2.8,0.00
Eli Holstein,Pittsburgh,BC,Pitt,-,-,226,0.47,228,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
Timmy McClain,Arkansas State,ODU,ODU,-,-,227,0.47,226,0.47,8.43,0.00,0.00,14.8,1.29,0.43,3.0,0.00
John Alan Richter,Toledo,Akron,Toledo,-,-,228,0.47,227,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
Jacurri Brown,Central Florida,Utah,Utah,-,-,229,0.46,230,0.46,6.57,0.00,0.00,9.3,2.00,0.57,3.5,0.00
Drew Viotto,Eastern Michigan,WestMI,EastMi,-,-,230,0.46,229,0.46,5.86,0.00,0.00,10.3,2.29,1.43,1.6,0.00
Evan Bullock,Louisiana Tech,KennSt,KennSt,-,-,231,0.45,231,0.45,6.88,0.00,0.00,10.9,1.75,1.13,1.5,0.00
CJ Bailey,North Carolina State,UNC,NCSU,-,-,232,0.44,232,0.44,7.00,0.00,0.00,12.3,1.57,0.57,2.8,0.00
Walker Howard,Mississippi,MissSt,MissSt,-,-,233,0.44,233,0.44,8.75,0.00,0.00,13.9,0.88,0.38,2.3,0.00
Noah Kim,Coastal Carolina,GaSt,CoastC,-,-,234,0.43,234,0.43,7.14,0.00,0.00,12.5,1.43,0.57,2.5,0.00
AJ Swann,LSU,Okla,Okla,-,-,235,0.42,235,0.42,8.00,0.00,0.00,12.7,1.00,0.75,1.3,0.00
DJ Lagway,Florida,FlaSt,Fla,-,-,236,0.40,236,0.40,7.13,0.00,0.00,11.3,1.13,0.38,3.0,0.00
Cash McCollum,North Texas,Temple,NorTx,-,-,237,0.40,237,0.40,7.00,0.00,0.00,12.5,1.22,0.56,2.2,0.00
Xavier Williams,Middle Tenn. St,FIU,MiddTn,-,-,238,0.40,238,0.40,6.63,0.00,0.00,10.5,1.38,0.38,3.6,0.00
Cade Cunningham,Memphis,Tulane,Mem,-,-,239,0.39,239,0.39,7.44,0.00,0.00,11.1,0.89,0.33,2.7,0.00
Trent Pearman,Clemson,SCar,SCar,-,-,240,0.39,242,0.39,6.33,0.00,0.00,9.4,1.33,0.56,2.4,0.00
Casey Thompson,Oklahoma,LSU,Okla,-,-,241,0.39,240,0.39,8.88,0.00,0.00,14.1,0.38,0.50,0.8,0.00
Callum Wither,Ohio,BallSt,BallSt,-,-,242,0.39,241,0.39,6.86,0.00,0.00,12.0,1.14,0.43,2.7,0.00
Joshua Wood,Fresno State,UCLA,Fres,-,-,243,0.39,243,0.39,7.33,0.00,0.00,10.9,1.00,0.22,4.5,0.00
Grayson James,Boston College,Pitt,Pitt,-,-,244,0.37,245,0.37,6.14,0.00,0.00,10.8,1.29,1.29,1.0,0.00
Tucker Kilcrease,Troy,SouMis,SouMis,-,-,245,0.37,244,0.37,7.14,0.00,0.00,12.5,0.86,0.43,2.0,0.00
