,,Week 3 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Joey Aguilar,Appalachian State,ECU,App,-,-,20,22.44,20,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Garrett Nussmeier,LSU,SCar,LSU,-,-,21,22.13,21,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,KanSt,Ari,-,-,22,21.97,22,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Grayson McCall,North Carolina State,LaTech,LaTech,-,-,23,21.85,23,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Conner Weigman,Texas A&M,Fla,TexA&M,-,-,24,21.42,24,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,Purdue,ND,-,-,25,21.34,25,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,UAB,UAB,-,-,26,21.32,26,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,NWSt,NWSt,-,-,27,21.32,27,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,Tx-SA,Tx-SA,-,-,28,21.22,28,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,Mich,ArkSt,-,-,29,21.21,29,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,Kty,UGa,-,-,30,21.20,30,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
DJ Uiagalelei,Florida State,Mem,Mem,-,-,31,21.06,31,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,Rice,Rice,-,-,32,20.96,32,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Ark,UAB,-,-,33,20.81,33,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
LaNorris Sellers,South Carolina,LSU,LSU,-,-,34,20.43,34,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Brayden Schager,Hawaii,SamHou,Hawaii,-,-,35,20.31,35,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,UNLV,UNLV,-,-,36,19.98,36,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,SCSt,SCSt,-,-,37,19.95,37,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,UtahSt,Utah,-,-,38,19.80,38,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,AF,AF,-,-,39,19.78,39,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,WestKy,WestKy,-,-,40,19.73,40,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,MissSt,Toledo,-,-,41,19.72,41,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,UCF,UCF,-,-,42,19.59,42,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,Wash,WashSt,-,-,43,19.58,43,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,MiddTn,WestKy,-,-,44,19.57,44,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,Hou,Rice,-,-,45,19.51,45,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Kurtis Rourke,Indiana,UCLA,Ind,-,-,46,19.35,46,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,Cal,SDSU,-,-,47,19.34,48,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,Kansas,UNLV,-,-,48,19.34,47,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,Colo,Colo,-,-,49,19.17,49,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,EastMi,JacSt,-,-,50,18.97,50,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ethan Vasko,Coastal Carolina,Temple,CoastC,-,-,51,18.70,51,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,PVA&M,PVA&M,-,-,52,18.69,52,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,Hawaii,Hawaii,-,-,53,18.62,53,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,NCSU,LaTech,-,-,54,18.56,54,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,CentMi,CentMi,-,-,55,18.53,55,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Devon Dampier,New Mexico,Auburn,NM,-,-,56,18.50,56,18.50,217.63,1.41,0.99,12.2,16.87,6.20,2.7,0.41
Blake Shapen,Mississippi State,Toledo,Toledo,-,-,57,18.44,57,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,NMSt,NMSt,-,-,58,18.13,58,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Anthony Colandrea,Virginia,MD,MD,-,-,59,18.01,59,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Graham Mertz,Florida,TexA&M,TexA&M,-,-,60,17.96,60,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Brendan Sorsby,Cincinnati,Mia-O,Cin,-,-,61,17.93,61,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
Alan Bowman,Oklahoma State,Tulsa,OkSt,-,-,62,17.88,62,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,NorTx,NorTx,-,-,63,17.87,63,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Hudson Card,Purdue,ND,ND,-,-,64,17.84,64,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Will Rogers,Washington,WashSt,WashSt,-,-,65,17.47,65,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Parker Navarro,Ohio,MorgSt,MorgSt,-,-,66,17.42,66,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Brett Gabbert,Miami (OH),Cin,Cin,-,-,67,17.35,67,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Diego Pavia,Vanderbilt,GaSt,Vandy,-,-,68,17.25,68,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,Utah,Utah,-,-,69,17.19,69,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,NM,NM,-,-,70,17.10,70,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,Ala,Ala,-,-,71,17.08,71,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,G-Webb,G-Webb,-,-,72,16.95,72,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,FlaAtl,FIU,-,-,73,16.54,73,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,VaTech,VaTech,-,-,74,16.51,74,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Cam Fancher,Florida Atlantic,FIU,FIU,-,-,75,16.38,75,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,UGa,UGa,-,-,76,16.34,76,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Maalik Murphy,Duke,UConn,UConn,-,-,77,16.20,77,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,Iowa,Troy,-,-,78,16.04,78,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,Okla,Tulane,-,-,79,16.01,79,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,BYU,BYU,-,-,80,15.88,80,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,Oregon,Oregon,-,-,81,15.73,81,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Ethan Garbers,UCLA,Ind,Ind,-,-,82,15.55,82,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
Davis Bryson,Kennesaw State,SJSU,KennSt,-,-,83,15.42,83,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Hayden Wolff,Western Michigan,B-C,B-C,-,-,84,15.13,84,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,Baylor,AF,-,-,85,15.04,85,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,WVU,WVU,-,-,86,14.86,86,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,USF,USF,-,-,87,14.84,87,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Owen McCown,UTSA,Tex,Tx-SA,-,-,88,14.29,88,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
Jake Retzlaff,BYU,Wyo,BYU,-,-,89,14.16,89,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,Mia-Fl,BallSt,-,-,90,13.79,90,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,Colg,Colg,-,-,91,13.59,91,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,SDSU,SDSU,-,-,92,13.58,92,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,ArkSt,ArkSt,-,-,93,13.50,93,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Joe Labas,Central Michigan,Ill,CentMi,-,-,94,13.45,94,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,Miss,Miss,-,-,95,13.10,95,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,Troy,Troy,-,-,96,13.03,96,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,Buff,UMass,-,-,97,12.94,97,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,UNI,UNI,-,-,98,12.92,98,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,NCCent,NCCent,-,-,99,12.80,99,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,Nevada,Nevada,-,-,100,12.50,100,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Cole Snyder,Eastern Michigan,JacSt,JacSt,-,-,101,12.15,101,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Cardell Williams,Tulsa,OkSt,OkSt,-,-,102,11.11,102,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Sam Leavitt,Arizona State,TxSt,AriSt,-,-,103,10.95,103,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,Cal,SDSU,-,-,104,10.88,104,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,UMass,UMass,-,-,105,10.81,105,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,EastIl,EastIl,-,-,106,10.48,106,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,Minn,Nevada,-,-,107,10.37,107,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Devin Kargman,Kent,Tenn,KentSt,-,-,108,10.23,108,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Joseph Fagnano,UConn,Duke,UConn,-,-,109,10.10,109,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
MJ Morris,Maryland,UVa,MD,-,-,110,9.72,110,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Cade McConnell,UTEP,Lib,UTEP,-,-,111,9.43,111,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,Vandy,Vandy,-,-,112,9.05,112,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,OkSt,OkSt,-,-,113,8.95,113,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,App,App,-,-,114,8.93,114,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,CoastC,CoastC,-,-,115,8.90,115,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,NCCent,NCCent,-,-,116,8.69,116,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,KennSt,KennSt,-,-,117,8.40,117,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,SDSU,SDSU,-,-,118,8.32,118,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,UMass,UMass,-,-,119,7.98,119,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,KennSt,KennSt,-,-,120,7.97,120,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,Lib,UTEP,-,-,121,5.94,121,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Jake Garcia,East Carolina,App,App,-,-,122,5.47,122,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Santino Marucci,New Mexico State,Fres,NMSt,-,-,123,5.45,123,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,Tex,Tx-SA,-,-,124,5.43,124,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,Vandy,Vandy,-,-,125,5.22,125,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,Fres,NMSt,-,-,126,5.16,126,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Brady Lichtenberg,Cincinnati,Mia-O,Cin,-,-,127,4.68,127,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,Wash,WashSt,-,-,128,4.66,128,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Chubba Purdy,Nevada,Minn,Nevada,-,-,129,4.56,129,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,EastMi,JacSt,-,-,130,4.44,130,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Deuce Hogan,New Mexico State,Fres,NMSt,-,-,131,4.32,131,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Billy Edwards,Maryland,UVa,MD,-,-,132,4.29,132,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Forrest Brock,Temple,CoastC,CoastC,-,-,133,4.01,133,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Jack Lausch,Northwestern,EastIl,EastIl,-,-,134,3.77,134,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,Wyo,BYU,-,-,135,3.52,135,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Jeff Sims,Arizona State,TxSt,AriSt,-,-,136,3.35,136,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,NorTx,NorTx,-,-,137,3.33,137,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,ArkSt,ArkSt,-,-,138,2.70,138,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Bert Emanuel,Central Michigan,Ill,CentMi,-,-,139,2.62,139,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,Wyo,BYU,-,-,140,2.58,140,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,UNI,UNI,-,-,141,2.57,141,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,UGa,UGa,-,-,142,2.49,142,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,EastIl,EastIl,-,-,143,2.42,143,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,GaSt,Vandy,-,-,144,2.41,144,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Duke,UConn,-,-,145,2.30,145,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,UConn,UConn,-,-,146,2.25,146,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Caden Veltkamp,Western Kentucky,MiddTn,WestKy,-,-,147,2.24,147,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Kai Horton,Tulane,Okla,Tulane,-,-,148,2.22,148,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Cameron Edge,Maryland,UVa,MD,-,-,149,2.07,150,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,Miss,Miss,-,-,150,2.07,149,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Sawyer Robertson,Baylor,AF,AF,-,-,151,1.69,151,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Steve Angeli,Notre Dame,Purdue,ND,-,-,152,1.59,152,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Ben Gulbranson,Oregon State,Oregon,Oregon,-,-,153,1.50,153,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Ty Simpson,Alabama,Wisc,Ala,-,-,154,1.37,154,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Brock Glenn,Florida State,Mem,Mem,-,-,155,1.35,155,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,ODU,VaTech,-,-,156,1.30,156,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,MD,MD,-,-,157,1.25,157,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,Tex,Tx-SA,-,-,158,1.24,158,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Justyn Martin,UCLA,Ind,Ind,-,-,159,1.14,159,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Dante Moore,Oregon,OreSt,Oregon,-,-,160,1.14,160,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,Utah,Utah,-,-,161,1.12,161,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,USF,USF,-,-,162,1.09,162,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,SCSt,SCSt,-,-,163,1.04,163,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,UTEP,UTEP,-,-,164,1.02,164,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Gabarri Johnson,Oregon State,Oregon,Oregon,-,-,165,1.00,165,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,G-Webb,G-Webb,-,-,166,0.99,167,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,Kty,UGa,-,-,167,0.99,166,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Ala,Ala,-,-,168,0.88,168,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,Tx-SA,Tx-SA,-,-,169,0.82,169,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,Ari,Ari,-,-,170,0.78,170,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
Nicco Marchiol,West Virginia,Pitt,WVU,-,-,171,0.75,171,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
AJ Padgett,Rice,Hou,Rice,-,-,172,0.75,172,0.75,6.00,0.13,0.00,9.5,0.13,0.25,0.5,0.00
Drew Pyne,Missouri,BC,BC,-,-,173,0.74,173,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Cole Ballard,Kansas,UNLV,UNLV,-,-,174,0.70,174,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,Fla,TexA&M,-,-,175,0.68,175,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,Rice,Rice,-,-,176,0.65,176,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,Colg,Colg,-,-,177,0.62,178,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,Buff,UMass,-,-,178,0.62,177,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Robby Ashford,South Carolina,LSU,LSU,-,-,179,0.60,179,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Braden Bohannon,Kennesaw State,SJSU,KennSt,-,-,180,0.55,180,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
RJ Martinez,Texas State,AriSt,AriSt,-,-,181,0.54,181,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,VaTech,VaTech,-,-,182,0.53,182,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Tommy Ulatowski,Kent,Tenn,KentSt,-,-,183,0.53,183,0.53,6.13,0.06,0.06,12.3,0.38,0.19,2.0,0.00
Zach Pyron,Georgia Tech,VMI,VMI,-,-,184,0.51,184,0.51,7.43,0.00,0.00,13.0,2.14,0.57,3.8,0.00
Sam Huard,Utah,UtahSt,Utah,-,-,185,0.50,185,0.50,7.47,0.06,0.06,12.7,-0.35,0.24,-1.5,0.00
Malachi Singleton,Arkansas,UAB,UAB,-,-,186,0.49,186,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Tyriq Starks,Florida Atlantic,FIU,FIU,-,-,187,0.48,187,0.48,12.10,0.00,0.00,10.1,0.00,0.40,0.0,0.00
Hajj-Malik Williams,UNLV,Kansas,UNLV,-,-,188,0.48,188,0.48,8.00,0.00,0.00,14.0,1.57,0.57,2.8,0.00
Eli Holstein,Pittsburgh,WVU,WVU,-,-,189,0.47,191,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
Timmy McClain,Arkansas State,Mich,ArkSt,-,-,190,0.47,189,0.47,8.43,0.00,0.00,14.8,1.29,0.43,3.0,0.00
John Alan Richter,Toledo,MissSt,Toledo,-,-,191,0.47,190,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
Jacurri Brown,Central Florida,TCU,UCF,-,-,192,0.46,193,0.46,6.57,0.00,0.00,9.3,2.00,0.57,3.5,0.00
Drew Viotto,Eastern Michigan,JacSt,JacSt,-,-,193,0.46,192,0.46,5.86,0.00,0.00,10.3,2.29,1.43,1.6,0.00
