,,Week 8 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Tyler Loop,Arizona,Colo,Colo,-,-,31,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,BC,BC,-,-,32,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Kansas,Hou,-,-,33,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,Ari,Colo,-,-,34,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,Utah,TCU,-,-,35,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Tenn,Ala,-,-,36,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,UCLA,UCLA,-,-,37,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,FlaSt,FlaSt,-,-,38,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,Hou,Hou,-,-,39,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Ark,LSU,-,-,40,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Fla,Kty,-,-,41,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,Stan,SMU,-,-,42,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,Purdue,Oregon,-,-,43,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,LSU,LSU,-,-,44,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,Kty,Kty,-,-,45,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,WVU,KanSt,-,-,46,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,Mia-Fl,Mia-Fl,-,-,47,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Ala,Ala,-,-,48,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,NW,Wisc,-,-,49,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Cal,NCSU,-,-,50,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,BYU,OkSt,-,-,51,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,Tex,UGa,-,-,52,0.00,53,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,Ill,Mich,-,-,53,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
