,,Week 12 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Will Howard,Ohio State,NW,OhioSt,-,-,16,21.91,16,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Preston Stone,SMU,BC,BC,-,-,17,21.47,17,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,NMSt,NMSt,-,-,18,21.42,18,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,UVa,UVa,-,-,19,21.34,19,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,Tex,Tex,-,-,20,21.32,20,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,UL-Laf,USA,-,-,21,21.32,21,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,Ark,Tex,-,-,22,21.22,22,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,GaSt,ArkSt,-,-,23,21.21,23,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,Tenn,Tenn,-,-,24,21.20,24,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,Neb,Neb,-,-,25,21.16,25,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
Donovan Smith,Houston,Ari,Hou,-,-,26,20.96,26,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Mem,UAB,-,-,27,20.81,27,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,SJSU,Boise,-,-,28,20.49,28,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,Missou,Missou,-,-,29,20.43,29,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,Stan,Lou,-,-,30,20.40,30,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,UtahSt,Hawaii,-,-,31,20.31,31,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,BYU,Kansas,-,-,32,19.98,32,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,Troy,Troy,-,-,33,19.95,33,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,Colo,Utah,-,-,34,19.80,34,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,WVU,Baylor,-,-,35,19.78,35,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Tucker Gleason,Toledo,CentMi,CentMi,-,-,36,19.72,36,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
John Mateer,Washington State,NM,WashSt,-,-,37,19.58,37,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,LaTech,LaTech,-,-,38,19.57,38,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
Rocco Becht,Iowa State,Cin,Cin,-,-,39,19.40,39,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Danny O'Neil,San Diego State,UNLV,SDSU,-,-,40,19.34,41,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,SDSU,SDSU,-,-,41,19.34,40,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,Wyo,Wyo,-,-,42,19.17,42,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,FIU,FIU,-,-,43,18.97,43,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,Lou,Lou,-,-,44,18.90,44,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,Pitt,Clem,-,-,45,18.85,45,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,Marsh,CoastC,-,-,46,18.70,46,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,Ill,MSU,-,-,47,18.69,47,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,KennSt,SamHou,-,-,48,18.62,48,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,WestKy,LaTech,-,-,49,18.56,49,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,MSU,MSU,-,-,50,18.53,50,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Devon Dampier,New Mexico,WashSt,WashSt,-,-,51,18.50,51,18.50,217.63,1.41,0.99,12.2,16.87,6.20,2.7,0.41
Anthony Colandrea,Virginia,ND,UVa,-,-,52,18.01,52,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Drew Allar,Penn State,Purdue,PSU,-,-,53,18.00,53,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
Graham Mertz,Florida,LSU,LSU,-,-,54,17.96,54,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Brendan Sorsby,Cincinnati,IaSt,Cin,-,-,55,17.93,55,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
Hudson Card,Purdue,PSU,PSU,-,-,56,17.84,56,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Will Rogers,Washington,UCLA,UCLA,-,-,57,17.47,57,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Parker Navarro,Ohio,EastMi,EastMi,-,-,58,17.42,58,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Brett Gabbert,Miami (OH),KentSt,KentSt,-,-,59,17.35,59,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Spencer Petras,Utah State,Hawaii,Hawaii,-,-,60,17.19,60,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,UL-Mon,UL-Mon,-,-,61,17.10,61,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,Oregon,Oregon,-,-,62,17.08,62,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,USF,USF,-,-,63,16.95,63,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,JacSt,FIU,-,-,64,16.54,64,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,JMU,JMU,-,-,65,16.51,65,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Cam Fancher,Florida Atlantic,Temple,FlaAtl,-,-,66,16.38,66,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,Murray,Murray,-,-,67,16.34,67,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Kyle McCord,Syracuse,Cal,Syr,-,-,68,16.24,68,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Goose Crowder,Troy,GaSo,Troy,-,-,69,16.04,69,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,Navy,Tulane,-,-,70,16.01,70,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,ColoSt,Wyo,-,-,71,15.88,71,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,AF,OreSt,-,-,72,15.73,72,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Ethan Garbers,UCLA,Wash,UCLA,-,-,73,15.55,73,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
Davis Bryson,Kennesaw State,SamHou,SamHou,-,-,74,15.42,74,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Hayden Wolff,Western Michigan,BGSU,WestMI,-,-,75,15.13,75,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,OreSt,OreSt,-,-,76,15.04,76,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,Clem,Clem,-,-,77,14.86,77,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,TxSt,SouMis,-,-,78,14.84,78,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,MD,Rut,-,-,79,14.32,79,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
Owen McCown,UTSA,NorTx,NorTx,-,-,80,14.29,80,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
General Booty,Louisiana-Monroe,Auburn,UL-Mon,-,-,81,14.18,81,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,SJSU,Boise,-,-,82,14.16,83,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Jake Retzlaff,BYU,Kansas,Kansas,-,-,83,14.16,82,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,Buff,BallSt,-,-,84,13.79,84,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,NIU,Akron,-,-,85,13.59,85,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,Syr,Syr,-,-,86,13.58,86,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Joe Labas,Central Michigan,Toledo,CentMi,-,-,87,13.45,87,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,UNC,Wake,-,-,88,13.10,88,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Taisun Phommachanh,Massachusetts,Lib,Lib,-,-,89,12.94,89,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,USC,Neb,-,-,90,12.92,90,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,Wake,Wake,-,-,91,12.80,91,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Blake Horvath,Navy,Tulane,Tulane,-,-,92,12.50,92,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Cole Snyder,Eastern Michigan,Ohio,EastMi,-,-,93,12.15,93,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Connor Bazelak,Bowling Green,WestMI,WestMI,-,-,94,11.44,94,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,ODU,JMU,-,-,95,11.25,95,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,ECU,ECU,-,-,96,11.11,96,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,Akron,Akron,-,-,97,11.01,97,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
Sam Leavitt,Arizona State,KanSt,AriSt,-,-,98,10.95,98,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,UNLV,SDSU,-,-,99,10.88,99,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,BallSt,BallSt,-,-,100,10.81,100,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,OhioSt,OhioSt,-,-,101,10.48,101,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Ben Wooldridge,Louisiana-Lafayette,USA,USA,-,-,102,10.29,102,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Devin Kargman,Kent,Mia-O,KentSt,-,-,103,10.23,103,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Chandler Fields,Louisiana-Lafayette,USA,USA,-,-,104,9.76,104,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
MJ Morris,Maryland,Rut,Rut,-,-,105,9.72,105,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Zach Gibson,Georgia State,ArkSt,ArkSt,-,-,106,9.05,106,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,ECU,ECU,-,-,107,8.95,107,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,Tulsa,ECU,-,-,108,8.93,108,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,FlaAtl,FlaAtl,-,-,109,8.90,109,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,Wake,Wake,-,-,110,8.69,110,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,Boise,Boise,-,-,111,8.40,111,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,Syr,Syr,-,-,112,8.32,112,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,BallSt,BallSt,-,-,113,7.98,113,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,Boise,Boise,-,-,114,7.97,114,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Cole Pennington,Marshall,CoastC,CoastC,-,-,115,5.70,115,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,CoastC,CoastC,-,-,116,5.67,116,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Alonza Barnett,James Madison,ODU,JMU,-,-,117,5.64,117,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Beau Pribula,Penn State,Purdue,PSU,-,-,118,5.60,118,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Jake Garcia,East Carolina,Tulsa,ECU,-,-,119,5.47,119,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Santino Marucci,New Mexico State,TexA&M,NMSt,-,-,120,5.45,120,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,NorTx,NorTx,-,-,121,5.43,121,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,ArkSt,ArkSt,-,-,122,5.22,122,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,TexA&M,NMSt,-,-,123,5.16,123,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Stone Earle,Marshall,CoastC,CoastC,-,-,124,5.14,124,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Brady Lichtenberg,Cincinnati,IaSt,Cin,-,-,125,4.68,125,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,NM,WashSt,-,-,126,4.66,126,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Tyler Huff,Jacksonville State,FIU,FIU,-,-,127,4.44,127,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Deuce Hogan,New Mexico State,TexA&M,NMSt,-,-,128,4.32,128,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Billy Edwards,Maryland,Rut,Rut,-,-,129,4.29,129,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Jalen Macon,Northern Illinois,Akron,Akron,-,-,130,4.25,130,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,FlaAtl,FlaAtl,-,-,131,4.01,131,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,WestMI,WestMI,-,-,132,3.96,132,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,OhioSt,OhioSt,-,-,133,3.77,133,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,Kansas,Kansas,-,-,134,3.52,134,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Jeff Sims,Arizona State,KanSt,AriSt,-,-,135,3.35,135,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Bert Emanuel,Central Michigan,Toledo,CentMi,-,-,136,2.62,136,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,Kansas,Kansas,-,-,137,2.58,137,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,USC,Neb,-,-,138,2.57,138,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,Murray,Murray,-,-,139,2.49,139,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,OhioSt,OhioSt,-,-,140,2.42,140,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Caden Veltkamp,Western Kentucky,LaTech,LaTech,-,-,141,2.24,141,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Kai Horton,Tulane,Navy,Tulane,-,-,142,2.22,142,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Cameron Edge,Maryland,Rut,Rut,-,-,143,2.07,144,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,UNC,Wake,-,-,144,2.07,143,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Colin Parachek,Marshall,CoastC,CoastC,-,-,145,2.01,145,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,WVU,Baylor,-,-,146,1.69,146,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,Stan,Lou,-,-,147,1.61,147,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Steve Angeli,Notre Dame,UVa,UVa,-,-,148,1.59,148,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Elijah Brown,Stanford,Lou,Lou,-,-,149,1.56,149,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,AF,OreSt,-,-,150,1.50,150,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Devin Brown,Ohio State,NW,OhioSt,-,-,151,1.41,151,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,Lou,Lou,-,-,152,1.38,152,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,Merc,Merc,-,-,153,1.37,153,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Tony Muskett,Virginia,ND,UVa,-,-,154,1.25,154,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,NorTx,NorTx,-,-,155,1.24,155,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,Neb,Neb,-,-,156,1.24,156,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Justyn Martin,UCLA,Wash,UCLA,-,-,157,1.14,157,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Dante Moore,Oregon,Wisc,Oregon,-,-,158,1.14,158,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,Hawaii,Hawaii,-,-,159,1.12,159,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,TxSt,SouMis,-,-,160,1.09,160,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,Troy,Troy,-,-,161,1.04,161,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,UMass,Lib,-,-,162,1.02,162,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Gabarri Johnson,Oregon State,AF,OreSt,-,-,163,1.00,163,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,USF,USF,-,-,164,0.99,165,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,Tenn,Tenn,-,-,165,0.99,164,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Oregon,Oregon,-,-,166,0.88,166,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,Ark,Tex,-,-,167,0.82,167,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,AriSt,AriSt,-,-,168,0.78,168,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
Nicco Marchiol,West Virginia,Baylor,Baylor,-,-,169,0.75,169,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
Hunter Herring,Louisiana-Monroe,Auburn,UL-Mon,-,-,170,0.74,170,0.74,6.53,0.06,0.06,12.3,2.41,0.53,4.5,0.00
Drew Pyne,Missouri,SCar,Missou,-,-,171,0.74,171,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Ajani Sheppard,Rutgers,MD,Rut,-,-,172,0.73,172,0.73,6.50,0.00,0.00,13.0,4.67,1.17,4.0,0.00
Cole Ballard,Kansas,BYU,Kansas,-,-,173,0.70,173,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,NMSt,NMSt,-,-,174,0.68,174,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,Ari,Hou,-,-,175,0.65,175,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,NIU,Akron,-,-,176,0.62,177,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,Lib,Lib,-,-,177,0.62,176,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Robby Ashford,South Carolina,Missou,Missou,-,-,178,0.60,178,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Kevin Jennings,SMU,BC,BC,-,-,179,0.57,179,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,SamHou,SamHou,-,-,180,0.55,180,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
JJ Kohl,Iowa State,Cin,Cin,-,-,181,0.54,181,0.54,7.86,0.00,0.00,13.8,2.29,0.57,4.0,0.00
RJ Martinez,Texas State,SouMis,SouMis,-,-,182,0.54,182,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,JMU,JMU,-,-,183,0.53,183,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Tommy Ulatowski,Kent,Mia-O,KentSt,-,-,184,0.53,184,0.53,6.13,0.06,0.06,12.3,0.38,0.19,2.0,0.00
Sam Huard,Utah,Colo,Utah,-,-,185,0.50,185,0.50,7.47,0.06,0.06,12.7,-0.35,0.24,-1.5,0.00
Malachi Singleton,Arkansas,Tex,Tex,-,-,186,0.49,186,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Tyriq Starks,Florida Atlantic,Temple,FlaAtl,-,-,187,0.48,187,0.48,12.10,0.00,0.00,10.1,0.00,0.40,0.0,0.00
Hajj-Malik Williams,UNLV,SDSU,SDSU,-,-,188,0.48,188,0.48,8.00,0.00,0.00,14.0,1.57,0.57,2.8,0.00
Eli Holstein,Pittsburgh,Clem,Clem,-,-,189,0.47,191,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
Timmy McClain,Arkansas State,GaSt,ArkSt,-,-,190,0.47,189,0.47,8.43,0.00,0.00,14.8,1.29,0.43,3.0,0.00
John Alan Richter,Toledo,CentMi,CentMi,-,-,191,0.47,190,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
Drew Viotto,Eastern Michigan,Ohio,EastMi,-,-,192,0.46,192,0.46,5.86,0.00,0.00,10.3,2.29,1.43,1.6,0.00
Evan Bullock,Louisiana Tech,WestKy,LaTech,-,-,193,0.45,193,0.45,6.88,0.00,0.00,10.9,1.75,1.13,1.5,0.00
