,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ayo Adeyi,James Madison,SouMis,SouMis,-,-,71,10.84,80,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,Mich,MSU,-,-,72,10.81,74,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Rahsul Faison,Utah State,Wyo,UtahSt,-,-,73,10.81,79,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,NIU,NIU,-,-,74,10.78,71,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,BC,Lou,-,-,75,10.74,59,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Jambres Dubar,Boise State,UNLV,Boise,-,-,76,10.58,76,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,Hou,Utah,-,-,77,10.57,68,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,TexA&M,LSU,-,-,78,10.52,83,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Damien Taylor,Troy,ArkSt,Troy,-,-,79,10.42,78,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Demond Claiborne,Wake Forest,Stan,Wake,-,-,80,10.41,92,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Eli Sanders,New Mexico,ColoSt,NM,-,-,81,10.35,77,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Kye Robichaux,Boston College,Lou,Lou,-,-,82,10.33,72,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Le'Veon Moss,Texas A&M,LSU,LSU,-,-,83,10.22,91,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,Mia-Fl,FlaSt,-,-,84,10.18,90,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,UTEP,UTEP,-,-,85,10.16,87,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,Okla,Okla,-,-,86,10.03,96,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Hunter Smith,Louisiana-Monroe,USA,UL-Mon,-,-,87,10.03,105,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,Tulane,Tulane,-,-,88,10.02,86,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Cartevious Norton,UNC Charlotte,Mem,Char,-,-,89,9.87,89,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Jacqez Barksdale,Buffalo,Ohio,Buff,-,-,90,9.76,88,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,Tulane,Tulane,-,-,91,9.76,98,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,TxTch,TxTch,-,-,92,9.75,93,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,Tulsa,Tx-SA,-,-,93,9.74,97,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
