,,Week 5 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
TreVeyon Henderson,Ohio State,MSU,OhioSt,-,-,14,16.68,16,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,UNLV,Fres,-,-,15,16.59,4,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Auburn,Okla,-,-,16,16.58,19,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,Colo,Colo,-,-,17,16.57,17,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,Wash,Wash,-,-,18,16.52,22,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Mario Anderson,Memphis,MiddTn,MiddTn,-,-,19,16.44,10,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Damien Martinez,Miami,VaTech,VaTech,-,-,20,16.43,21,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Quinshon Judkins,Ohio State,MSU,OhioSt,-,-,21,16.28,20,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Antario Brown,Northern Illinois,NCSU,NIU,-,-,22,15.81,27,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,Hou,IaSt,-,-,23,15.72,28,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,Marsh,WestMI,-,-,24,15.37,26,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
Chip Trayanum,Kentucky,Miss,Kty,-,-,25,15.36,25,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
Woody Marks,USC,Wisc,Wisc,-,-,26,15.29,24,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,HolyCr,HolyCr,-,-,27,15.24,15,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
TJ Harden,UCLA,Oregon,Oregon,-,-,28,14.83,30,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Bhayshul Tuten,Virginia Tech,Mia-Fl,VaTech,-,-,29,14.51,29,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Jalen White,Georgia Southern,GaSt,GaSo,-,-,30,14.43,32,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Trevor Etienne,Georgia,Ala,UGa,-,-,31,14.20,31,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dean Connors,Rice,Char,Char,-,-,32,13.88,23,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,Ill,Ill,-,-,33,13.74,33,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,UGa,UGa,-,-,34,13.61,35,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,Lib,Lib,-,-,35,13.48,36,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,Lou,Lou,-,-,36,13.45,42,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Harrison Waylee,Wyoming,AF,AF,-,-,37,13.43,40,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Rickey Hunt,Ohio,Akron,Akron,-,-,38,13.29,41,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,ODU,ODU,-,-,39,13.22,51,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,Rut,Wash,-,-,40,13.15,34,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Chez Mellusi,Wisconsin,USC,Wisc,-,-,41,12.89,38,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
Jordan Waters,North Carolina State,NIU,NIU,-,-,42,12.89,48,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,SDSU,SDSU,-,-,43,12.84,37,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,MissSt,MissSt,-,-,44,12.77,39,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Kaden Feagin,Illinois,PSU,Ill,-,-,45,12.74,49,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,Okla,Okla,-,-,46,12.63,44,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Corey Kiner,Cincinnati,TxTch,Cin,-,-,47,12.56,50,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Ja'Quinden Jackson,Arkansas,TexA&M,Ark,-,-,48,12.55,46,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Quali Conley,Arizona,Utah,Ari,-,-,49,12.25,45,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,Fres,Fres,-,-,50,12.14,56,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,Kansas,TCU,-,-,51,12.12,59,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,Ind,MD,-,-,52,11.79,43,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Devin Mockobee,Purdue,Neb,Neb,-,-,53,11.73,55,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Jaquez Moore,Duke,UNC,UNC,-,-,54,11.66,61,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Kaleb Jackson,LSU,USA,USA,-,-,55,11.64,62,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Parker Jenkins,Houston,IaSt,IaSt,-,-,56,11.60,63,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Noah Whittington,Oregon,UCLA,Oregon,-,-,57,11.48,54,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Braylon McReynolds,South Alabama,LSU,USA,-,-,58,11.44,53,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Jacory Croskey-Merritt,Arizona,Utah,Ari,-,-,59,11.28,57,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,Ill,Ill,-,-,60,11.23,75,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,NorTx,Tulsa,-,-,61,11.11,73,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,WestMI,WestMI,-,-,62,11.06,58,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,FlaSt,FlaSt,-,-,63,11.04,68,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Jeremiyah Love,Notre Dame,Lou,Lou,-,-,64,11.00,70,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,CentMi,SDSU,-,-,65,10.97,52,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,Baylor,BYU,-,-,66,10.93,64,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jam Miller,Alabama,UGa,UGa,-,-,67,10.86,67,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
Ayo Adeyi,James Madison,BallSt,BallSt,-,-,68,10.84,81,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,OhioSt,OhioSt,-,-,69,10.81,74,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Braedon Sloan,Ball State,JMU,BallSt,-,-,70,10.78,71,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,ND,Lou,-,-,71,10.74,60,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,Tulane,USF,-,-,72,10.68,47,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,Wyo,AF,-,-,73,10.66,106,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,WashSt,WashSt,-,-,74,10.58,76,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,Ari,Ari,-,-,75,10.57,69,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,USA,USA,-,-,76,10.52,84,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Damien Taylor,Troy,UL-Mon,UL-Mon,-,-,77,10.42,78,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Demond Claiborne,Wake Forest,UL-Laf,UL-Laf,-,-,78,10.41,95,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Eli Sanders,New Mexico,NMSt,NM,-,-,79,10.35,77,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,NM,NM,-,-,80,10.34,86,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Kye Robichaux,Boston College,WestKy,WestKy,-,-,81,10.33,72,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Lee Beebe,UAB,Navy,Navy,-,-,82,10.26,79,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Le'Veon Moss,Texas A&M,Ark,Ark,-,-,83,10.22,92,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,SMU,FlaSt,-,-,84,10.18,90,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,FIU,LaTech,-,-,85,10.16,88,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,Kty,Kty,-,-,86,10.03,97,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,Oregon,Oregon,-,-,87,10.03,65,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,Troy,UL-Mon,-,-,88,10.03,108,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,Tulsa,Tulsa,-,-,89,10.02,87,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,BC,WestKy,-,-,90,9.97,83,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Cartevious Norton,UNC Charlotte,Rice,Char,-,-,91,9.87,91,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Nay'Quan Wright,South Florida,Tulane,USF,-,-,92,9.87,105,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,Navy,Navy,-,-,93,9.81,102,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,Neb,Neb,-,-,94,9.81,93,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Jacqez Barksdale,Buffalo,UConn,Buff,-,-,95,9.76,89,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,Tulsa,Tulsa,-,-,96,9.76,99,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,Kansas,TCU,-,-,97,9.75,94,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,ECU,Tx-SA,-,-,98,9.74,98,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Dominic Richardson,Baylor,BYU,BYU,-,-,99,9.69,80,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Kentrel Bullock,South Alabama,LSU,USA,-,-,100,9.60,100,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Ky Thomas,Kent,EastMi,EastMi,-,-,101,9.60,107,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
Michael Benefield,Kennesaw State,TN-Mar,TN-Mar,-,-,102,9.55,118,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
Justice Ellison,Indiana,MD,MD,-,-,103,9.51,82,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Dylan Downing,Miami (OH),UMass,UMass,-,-,104,9.43,113,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Camryn Edwards,UConn,Buff,Buff,-,-,105,9.41,103,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,Colo,Colo,-,-,106,9.40,116,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,UNC,UNC,-,-,107,9.40,104,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,KentSt,EastMi,-,-,108,9.28,110,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Treshaun Ward,Boston College,WestKy,WestKy,-,-,109,9.24,101,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,Purdue,Neb,-,-,110,9.19,111,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,Kty,Kty,-,-,111,9.13,120,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,USC,Wisc,-,-,112,9.12,112,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,ECU,Tx-SA,-,-,113,9.09,114,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,SMU,FlaSt,-,-,114,9.06,96,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,App,Lib,-,-,115,9.04,129,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,Wake,UL-Laf,-,-,116,9.04,123,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,Tex,MissSt,-,-,117,9.03,119,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,GaSo,GaSo,-,-,118,9.02,115,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,Wagner,Wagner,-,-,119,8.97,122,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,Navy,Navy,-,-,120,8.91,85,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,NM,NM,-,-,121,8.84,125,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
John Gentry,Sam Houston,TxSt,TxSt,-,-,122,8.79,66,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
DJ Jones,Wyoming,AF,AF,-,-,123,8.63,128,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,FlaSt,FlaSt,-,-,124,8.61,131,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,KentSt,EastMi,-,-,125,8.30,124,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,Ohio,Akron,-,-,126,8.28,121,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,Ala,UGa,-,-,127,8.27,134,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anthony Tyus,Ohio,Akron,Akron,-,-,128,8.24,133,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,Lib,Lib,-,-,129,8.18,135,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,JMU,BallSt,-,-,130,8.17,141,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,TCU,TCU,-,-,131,8.15,140,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Rayshon Luke,Arizona,Utah,Ari,-,-,132,8.05,127,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,OkSt,OkSt,-,-,133,7.98,126,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,UCF,Colo,-,-,134,7.98,117,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Gerald Green,Troy,UL-Mon,UL-Mon,-,-,135,7.89,132,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Aaron Young,Old Dominion,BGSU,ODU,-,-,136,7.81,144,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Freddie Brock,Georgia State,GaSo,GaSo,-,-,137,7.70,145,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,Tex,MissSt,-,-,138,7.70,137,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,Clem,Stan,-,-,139,7.69,109,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Rashad Amos,Mississippi,Kty,Kty,-,-,140,7.54,154,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,VaTech,VaTech,-,-,141,7.48,142,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,Fres,Fres,-,-,142,7.45,152,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,Wake,UL-Laf,-,-,143,7.45,165,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,Troy,UL-Mon,-,-,144,7.45,159,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,WestMI,WestMI,-,-,145,7.42,146,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,UConn,Buff,-,-,146,7.40,138,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,Minn,Minn,-,-,147,7.37,155,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Kay'Ron Lynch-Adams,Michigan State,OhioSt,OhioSt,-,-,148,7.34,148,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
Maurice Turner,Louisville,ND,Lou,-,-,149,7.22,130,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,Mia-O,UMass,-,-,150,7.20,150,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,Stan,Stan,-,-,151,7.19,162,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,Marsh,WestMI,-,-,152,7.18,147,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,Mem,MiddTn,-,-,153,7.15,164,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Jaylon Glover,Utah,Ari,Ari,-,-,154,7.09,166,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Gavin Williams,Northern Illinois,NCSU,NIU,-,-,155,7.05,139,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,UL-Laf,UL-Laf,-,-,156,6.97,171,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Aiden Calvert,Air Force,Wyo,AF,-,-,157,6.91,178,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Lexington Joseph,Florida International,LaTech,LaTech,-,-,158,6.90,136,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Leo Pulalasi,Washington State,Boise,WashSt,-,-,159,6.86,149,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Brandon Thomas,Memphis,MiddTn,MiddTn,-,-,160,6.85,169,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Jalen Hampton,Western Kentucky,BC,WestKy,-,-,161,6.84,153,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Kenny Tracy,Miami (OH),UMass,UMass,-,-,162,6.84,167,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,Rut,Wash,-,-,163,6.83,151,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Rahjai Harris,East Carolina,Tx-SA,Tx-SA,-,-,164,6.78,163,7.76,35.84,9.00,4.0,0.33,7.45,0.98,7.6,0.08
Jay Ducker,Sam Houston,TxSt,TxSt,-,-,165,6.76,172,7.37,38.00,10.00,3.8,0.43,3.48,0.61,5.7,0.00
Andrew Henry,New Mexico,NMSt,NM,-,-,166,6.74,158,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Eli Heidenreich,Navy,UAB,Navy,-,-,167,6.72,143,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Kanye Udoh,Army,Temple,Army,-,-,168,6.65,188,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Myles Bailey,Central Michigan,SDSU,SDSU,-,-,169,6.57,168,7.63,42.30,9.00,4.7,0.25,8.67,1.06,8.2,0.00
Demie Sumo-Karngbaye,Kentucky,Miss,Kty,-,-,170,6.56,156,7.96,36.89,7.00,5.3,0.25,8.89,1.40,6.4,0.08
CJ Campbell,Florida Atlantic,Wagner,Wagner,-,-,171,6.50,187,6.83,39.08,6.00,6.5,0.41,1.62,0.32,5.1,0.00
Kaelon Black,Indiana,MD,MD,-,-,172,6.49,157,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
CJ Hester,Massachusetts,Mia-O,UMass,-,-,173,6.38,161,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Shomari Lawrence,Florida International,LaTech,LaTech,-,-,174,6.38,181,7.03,39.92,10.00,4.0,0.33,4.18,0.66,6.3,0.00
Victor Rosa,UConn,Buff,Buff,-,-,175,6.36,174,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Quinten Joyner,USC,Wisc,Wisc,-,-,176,6.34,186,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
OJ Arnold,Georgia Southern,GaSt,GaSo,-,-,177,6.33,176,7.26,36.37,7.00,5.2,0.34,6.40,0.94,6.8,0.00
Bill Jackson,Tulsa,NorTx,Tulsa,-,-,178,6.30,179,7.16,47.35,11.00,4.3,0.17,5.33,0.86,6.2,0.00
Bryce Duke,Old Dominion,BGSU,ODU,-,-,179,6.24,185,6.89,32.91,7.00,4.7,0.32,5.39,0.64,8.4,0.08
Dawson Pendergrass,Baylor,BYU,BYU,-,-,180,6.22,177,7.25,30.31,7.00,4.3,0.32,8.03,1.03,7.8,0.08
Charlie Offerdahl,Colorado,UCF,Colo,-,-,181,6.20,170,7.51,32.99,7.00,4.7,0.26,7.96,1.31,6.1,0.09
George Pettaway,James Madison,BallSt,BallSt,-,-,182,6.18,183,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Evan Pryor,Cincinnati,TxTch,Cin,-,-,183,6.17,180,7.04,36.87,9.00,4.1,0.26,3.84,0.87,4.4,0.09
Marquese Williams,Akron,Ohio,Akron,-,-,184,6.11,173,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
Donerio Davenport,Louisiana Tech,FIU,LaTech,-,-,185,6.05,184,6.94,35.64,7.00,5.1,0.24,5.55,0.89,6.2,0.08
Kendrick Raphael,North Carolina State,NIU,NIU,-,-,186,6.02,182,6.97,41.37,9.00,4.6,0.17,8.48,0.95,8.9,0.00
Emmett Johnson,Nebraska,Purdue,Neb,-,-,187,5.93,193,6.35,41.75,9.00,4.6,0.25,2.58,0.42,6.1,0.00
Gavin Garcia,Kent,EastMi,EastMi,-,-,188,5.92,195,6.08,42.93,11.00,3.9,0.25,1.48,0.16,9.3,0.00
Coleman Bennett,Rice,Char,Char,-,-,189,5.82,160,7.85,25.97,7.00,3.7,0.24,17.58,2.03,8.7,0.00
Elijah Gilliam,Fresno State,UNLV,Fres,-,-,190,5.79,192,6.44,25.97,6.00,4.3,0.33,7.23,0.66,11.0,0.08
Alexander Diggs,Kennesaw State,TN-Mar,TN-Mar,-,-,191,5.77,194,6.12,38.51,8.00,4.8,0.26,3.34,0.35,9.5,0.00
Zylan Perry,Louisiana-Lafayette,Wake,UL-Laf,-,-,192,5.56,200,5.88,29.43,7.00,4.2,0.32,2.31,0.32,7.2,0.08
Branson Robinson,Georgia,Ala,UGa,-,-,193,5.52,198,5.93,26.80,5.00,5.4,0.41,3.77,0.41,9.2,0.00
