,,Week 9 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
E.J. Warner,Rice,UConn,Rice,-,-,42,19.51,42,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Kurtis Rourke,Indiana,Wash,Wash,-,-,43,19.35,43,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,WashSt,WashSt,-,-,44,19.34,45,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,Boise,Boise,-,-,45,19.34,44,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,NM,NM,-,-,46,19.17,46,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,MiddTn,MiddTn,-,-,47,18.97,47,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,Wake,Wake,-,-,48,18.90,48,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Aidan Chiles,Michigan State,Mich,MSU,-,-,49,18.69,49,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,FIU,SamHou,-,-,50,18.62,50,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,UTEP,UTEP,-,-,51,18.56,51,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,Oregon,Ill,-,-,52,18.53,52,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Devon Dampier,New Mexico,ColoSt,NM,-,-,53,18.50,53,18.50,217.63,1.41,0.99,12.2,16.87,6.20,2.7,0.41
Blake Shapen,Mississippi State,Ark,Ark,-,-,54,18.44,54,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,SJSU,SJSU,-,-,55,18.13,55,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Anthony Colandrea,Virginia,UNC,UNC,-,-,56,18.01,56,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Drew Allar,Penn State,Wisc,PSU,-,-,57,18.00,57,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
Brendan Sorsby,Cincinnati,Colo,Cin,-,-,58,17.93,58,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
Alan Bowman,Oklahoma State,Baylor,OkSt,-,-,59,17.88,59,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,TCU,TxTch,-,-,60,17.87,60,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Will Rogers,Washington,Ind,Wash,-,-,61,17.47,61,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Parker Navarro,Ohio,Buff,Buff,-,-,62,17.42,62,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Brett Gabbert,Miami (OH),CentMi,CentMi,-,-,63,17.35,63,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Diego Pavia,Vanderbilt,Tex,Tex,-,-,64,17.25,64,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,Wyo,UtahSt,-,-,65,17.19,65,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,Kty,Auburn,-,-,66,17.10,66,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,PSU,PSU,-,-,67,17.08,67,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,Mem,Char,-,-,68,16.95,68,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,SamHou,SamHou,-,-,69,16.54,69,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,GaSo,GaSo,-,-,70,16.51,70,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Brock Vandagriff,Kentucky,Auburn,Auburn,-,-,71,16.34,71,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Kyle McCord,Syracuse,Pitt,Syr,-,-,72,16.24,72,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Maalik Murphy,Duke,SMU,SMU,-,-,73,16.20,73,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,ArkSt,Troy,-,-,74,16.04,74,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,NorTx,Tulane,-,-,75,16.01,75,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,UtahSt,UtahSt,-,-,76,15.88,76,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,Cal,OreSt,-,-,77,15.73,77,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Davis Bryson,Kennesaw State,Lib,Lib,-,-,78,15.42,78,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Hayden Wolff,Western Michigan,KentSt,KentSt,-,-,79,15.13,79,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
Nate Yarnell,Pittsburgh,Syr,Syr,-,-,80,14.86,80,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,JMU,SouMis,-,-,81,14.84,81,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,USC,Rut,-,-,82,14.32,82,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
Owen McCown,UTSA,Tulsa,Tx-SA,-,-,83,14.29,83,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
General Booty,Louisiana-Monroe,USA,UL-Mon,-,-,84,14.18,84,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,UNLV,Boise,-,-,85,14.16,86,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Jake Retzlaff,BYU,UCF,BYU,-,-,86,14.16,85,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,NIU,NIU,-,-,87,13.79,87,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,EastMi,EastMi,-,-,88,13.59,88,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,OreSt,OreSt,-,-,89,13.58,89,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,MSU,MSU,-,-,90,13.50,90,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Joe Labas,Central Michigan,Mia-O,CentMi,-,-,91,13.45,91,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,Stan,Wake,-,-,92,13.10,92,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,NW,NW,-,-,93,13.03,93,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,Wagner,Wagner,-,-,94,12.94,94,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,OhioSt,Neb,-,-,95,12.92,95,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,UVa,UNC,-,-,96,12.80,96,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,MD,MD,-,-,97,12.50,98,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Blake Horvath,Navy,ND,ND,-,-,98,12.50,97,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Cole Snyder,Eastern Michigan,Akron,EastMi,-,-,99,12.15,99,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Connor Bazelak,Bowling Green,Toledo,BGSU,-,-,100,11.44,100,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,SouMis,SouMis,-,-,101,11.25,101,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,Tx-SA,Tx-SA,-,-,102,11.11,102,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,BallSt,NIU,-,-,103,11.01,103,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
AJ Duffy,San Diego State,WashSt,WashSt,-,-,104,10.88,104,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,Ohio,Buff,-,-,105,10.81,105,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,Iowa,NW,-,-,106,10.48,106,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,Hawaii,Nevada,-,-,107,10.37,107,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Devin Kargman,Kent,WestMI,KentSt,-,-,108,10.23,108,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Joseph Fagnano,UConn,Rice,Rice,-,-,109,10.10,109,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
MJ Morris,Maryland,Minn,MD,-,-,110,9.72,110,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Cade McConnell,UTEP,LaTech,UTEP,-,-,111,9.43,111,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,App,GaSt,-,-,112,9.05,112,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,Tx-SA,Tx-SA,-,-,113,8.95,113,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,Temple,Temple,-,-,114,8.93,114,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,ECU,Temple,-,-,115,8.90,115,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,UVa,UNC,-,-,116,8.69,116,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,Fres,SJSU,-,-,117,8.40,117,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,OreSt,OreSt,-,-,118,8.32,118,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,Ohio,Buff,-,-,119,7.98,119,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,Fres,SJSU,-,-,120,7.97,120,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,LaTech,UTEP,-,-,121,5.94,121,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Alonza Barnett,James Madison,SouMis,SouMis,-,-,122,5.64,122,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Beau Pribula,Penn State,Wisc,PSU,-,-,123,5.60,123,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Jake Garcia,East Carolina,Temple,Temple,-,-,124,5.47,124,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Eddie Lee Marburger,UTSA,Tulsa,Tx-SA,-,-,125,5.43,125,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,App,GaSt,-,-,126,5.22,126,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Brady Lichtenberg,Cincinnati,Colo,Cin,-,-,127,4.68,127,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,SDSU,WashSt,-,-,128,4.66,128,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Chubba Purdy,Nevada,Hawaii,Nevada,-,-,129,4.56,129,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,MiddTn,MiddTn,-,-,130,4.44,130,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Billy Edwards,Maryland,Minn,MD,-,-,131,4.29,131,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Jalen Macon,Northern Illinois,BallSt,NIU,-,-,132,4.25,132,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,ECU,Temple,-,-,133,4.01,133,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,Toledo,BGSU,-,-,134,3.96,134,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,Iowa,NW,-,-,135,3.77,135,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,UCF,BYU,-,-,136,3.52,136,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Cameran Brown,Texas Tech,TCU,TxTch,-,-,137,3.33,137,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,MSU,MSU,-,-,138,2.70,138,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Bert Emanuel,Central Michigan,Mia-O,CentMi,-,-,139,2.62,139,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,UCF,BYU,-,-,140,2.58,140,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,OhioSt,Neb,-,-,141,2.57,141,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,Auburn,Auburn,-,-,142,2.49,142,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,Iowa,NW,-,-,143,2.42,143,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,Tex,Tex,-,-,144,2.41,144,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Rice,Rice,-,-,145,2.30,145,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,SMU,SMU,-,-,146,2.25,146,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Kai Horton,Tulane,NorTx,Tulane,-,-,147,2.22,147,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Cameron Edge,Maryland,Minn,MD,-,-,148,2.07,149,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,Stan,Wake,-,-,149,2.07,148,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Sawyer Robertson,Baylor,OkSt,OkSt,-,-,150,1.69,150,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,BC,Lou,-,-,151,1.61,151,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Steve Angeli,Notre Dame,Navy,ND,-,-,152,1.59,152,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Elijah Brown,Stanford,Wake,Wake,-,-,153,1.56,153,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,Cal,OreSt,-,-,154,1.50,154,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Devin Brown,Ohio State,Neb,Neb,-,-,155,1.41,155,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,Wake,Wake,-,-,156,1.38,156,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,Missou,Missou,-,-,157,1.37,157,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Brock Glenn,Florida State,Mia-Fl,FlaSt,-,-,158,1.35,158,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,GaTech,GaTech,-,-,159,1.30,159,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,UNC,UNC,-,-,160,1.25,160,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,Tulsa,Tx-SA,-,-,161,1.24,161,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,Rut,Rut,-,-,162,1.24,162,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Dante Moore,Oregon,Ill,Ill,-,-,163,1.14,163,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,Wyo,UtahSt,-,-,164,1.12,164,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,JMU,SouMis,-,-,165,1.09,165,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,ODU,GaSo,-,-,166,1.04,166,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,KennSt,Lib,-,-,167,1.02,167,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Gabarri Johnson,Oregon State,Cal,OreSt,-,-,168,1.00,168,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,Mem,Char,-,-,169,0.99,169,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Braedyn Locke,Wisconsin,PSU,PSU,-,-,170,0.88,170,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,Vandy,Tex,-,-,171,0.82,171,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,Kansas,Kansas,-,-,172,0.78,172,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
Nicco Marchiol,West Virginia,Ari,WVU,-,-,173,0.75,173,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
AJ Padgett,Rice,UConn,Rice,-,-,174,0.75,174,0.75,6.00,0.13,0.00,9.5,0.13,0.25,0.5,0.00
Hunter Herring,Louisiana-Monroe,USA,UL-Mon,-,-,175,0.74,175,0.74,6.53,0.06,0.06,12.3,2.41,0.53,4.5,0.00
Drew Pyne,Missouri,Ala,Missou,-,-,176,0.74,176,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Ajani Sheppard,Rutgers,USC,Rut,-,-,177,0.73,177,0.73,6.50,0.00,0.00,13.0,4.67,1.17,4.0,0.00
Cole Ballard,Kansas,KanSt,Kansas,-,-,178,0.70,178,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,LSU,LSU,-,-,179,0.68,179,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,Utah,Utah,-,-,180,0.65,180,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,EastMi,EastMi,-,-,181,0.62,182,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,Wagner,Wagner,-,-,182,0.62,181,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Kevin Jennings,SMU,Duke,SMU,-,-,183,0.57,183,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,Lib,Lib,-,-,184,0.55,184,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
Emmett Morehead,Old Dominion,GaSo,GaSo,-,-,185,0.53,186,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Tommy Ulatowski,Kent,WestMI,KentSt,-,-,186,0.53,185,0.53,6.13,0.06,0.06,12.3,0.38,0.19,2.0,0.00
Zach Pyron,Georgia Tech,VaTech,GaTech,-,-,187,0.51,187,0.51,7.43,0.00,0.00,13.0,2.14,0.57,3.8,0.00
Sam Huard,Utah,Hou,Utah,-,-,188,0.50,188,0.50,7.47,0.06,0.06,12.7,-0.35,0.24,-1.5,0.00
Malachi Singleton,Arkansas,MissSt,Ark,-,-,189,0.49,189,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Hajj-Malik Williams,UNLV,Boise,Boise,-,-,190,0.48,190,0.48,8.00,0.00,0.00,14.0,1.57,0.57,2.8,0.00
Eli Holstein,Pittsburgh,Syr,Syr,-,-,191,0.47,192,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
Timmy McClain,Arkansas State,Troy,Troy,-,-,192,0.47,191,0.47,8.43,0.00,0.00,14.8,1.29,0.43,3.0,0.00
John Alan Richter,Toledo,BGSU,BGSU,-,-,193,0.47,193,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
