,,Week 8 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Alan Bowman,Oklahoma State,BYU,OkSt,-,-,63,17.88,63,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,Baylor,Baylor,-,-,64,17.87,64,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Hudson Card,Purdue,Oregon,Oregon,-,-,65,17.84,65,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Parker Navarro,Ohio,Mia-O,Ohio,-,-,66,17.42,66,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Brett Gabbert,Miami (OH),Ohio,Ohio,-,-,67,17.35,67,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Diego Pavia,Vanderbilt,BallSt,BallSt,-,-,68,17.25,68,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,NM,NM,-,-,69,17.19,69,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,Missou,Auburn,-,-,70,17.10,70,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,NW,Wisc,-,-,71,17.08,71,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,Navy,Char,-,-,72,16.95,72,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,UTEP,FIU,-,-,73,16.54,73,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,TxSt,TxSt,-,-,74,16.51,74,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Cam Fancher,Florida Atlantic,Tx-SA,FlaAtl,-,-,75,16.38,75,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,Fla,Kty,-,-,76,16.34,76,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Maalik Murphy,Duke,FlaSt,FlaSt,-,-,77,16.20,77,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,USA,Troy,-,-,78,16.04,78,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,Rice,Rice,-,-,79,16.01,79,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,SJSU,Wyo,-,-,80,15.88,80,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,UNLV,UNLV,-,-,81,15.73,81,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Ethan Garbers,UCLA,Rut,UCLA,-,-,82,15.55,82,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
Davis Bryson,Kennesaw State,MiddTn,KennSt,-,-,83,15.42,83,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Bryson Daily,Army,ECU,ECU,-,-,84,15.31,84,15.31,79.44,0.59,0.59,15.2,67.60,17.80,3.8,0.50
Hayden Wolff,Western Michigan,Buff,WestMI,-,-,85,15.13,85,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,ColoSt,ColoSt,-,-,86,15.04,86,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Tate Rodemaker,Southern Miss,ArkSt,ArkSt,-,-,87,14.84,87,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,UCLA,UCLA,-,-,88,14.32,88,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
Owen McCown,UTSA,FlaAtl,FlaAtl,-,-,89,14.29,89,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
Jake Retzlaff,BYU,OkSt,OkSt,-,-,90,14.16,90,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,Vandy,BallSt,-,-,91,13.79,91,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Fernando Mendoza,California,NCSU,NCSU,-,-,92,13.58,92,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,Ill,Mich,-,-,93,13.50,93,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Joe Labas,Central Michigan,EastMi,CentMi,-,-,94,13.45,94,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,UConn,Wake,-,-,95,13.10,95,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,MSU,Iowa,-,-,96,13.03,96,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Dylan Raiola,Nebraska,Ind,Neb,-,-,97,12.92,97,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Blake Horvath,Navy,Char,Char,-,-,98,12.50,98,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Cole Snyder,Eastern Michigan,CentMi,CentMi,-,-,99,12.15,99,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Connor Bazelak,Bowling Green,KentSt,KentSt,-,-,100,11.44,100,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,GaSo,JMU,-,-,101,11.25,101,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,Temple,Tulsa,-,-,102,11.11,102,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,Toledo,Toledo,-,-,103,11.01,103,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
Sam Leavitt,Arizona State,Cin,AriSt,-,-,104,10.95,104,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
Jack Shields,Buffalo,WestMI,WestMI,-,-,105,10.81,105,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,Wisc,Wisc,-,-,106,10.48,106,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,Fres,Fres,-,-,107,10.37,107,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Ben Wooldridge,Louisiana-Lafayette,CoastC,UL-Laf,-,-,108,10.29,108,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Devin Kargman,Kent,BGSU,KentSt,-,-,109,10.23,109,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Joseph Fagnano,UConn,Wake,Wake,-,-,110,10.10,110,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
Chandler Fields,Louisiana-Lafayette,CoastC,UL-Laf,-,-,111,9.76,111,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
MJ Morris,Maryland,USC,USC,-,-,112,9.72,112,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Cade McConnell,UTEP,FIU,FIU,-,-,113,9.43,113,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,Marsh,GaSt,-,-,114,9.05,114,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,Temple,Tulsa,-,-,115,8.95,115,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,Army,ECU,-,-,116,8.93,116,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,Tulsa,Tulsa,-,-,117,8.90,117,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Emmett Brown,San Jose State,Wyo,Wyo,-,-,118,8.40,118,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,NCSU,NCSU,-,-,119,8.32,119,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,WestMI,WestMI,-,-,120,7.98,120,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,Wyo,Wyo,-,-,121,7.97,121,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,FIU,FIU,-,-,122,5.94,122,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Cole Pennington,Marshall,GaSt,GaSt,-,-,123,5.70,123,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,GaSt,GaSt,-,-,124,5.67,124,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Alonza Barnett,James Madison,GaSo,JMU,-,-,125,5.64,125,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Jake Garcia,East Carolina,Army,ECU,-,-,126,5.47,126,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Santino Marucci,New Mexico State,LaTech,LaTech,-,-,127,5.45,127,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,FlaAtl,FlaAtl,-,-,128,5.43,128,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,Marsh,GaSt,-,-,129,5.22,129,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,LaTech,LaTech,-,-,130,5.16,130,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Stone Earle,Marshall,GaSt,GaSt,-,-,131,5.14,131,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Brady Lichtenberg,Cincinnati,AriSt,AriSt,-,-,132,4.68,132,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,Hawaii,Hawaii,-,-,133,4.66,133,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Chubba Purdy,Nevada,Fres,Fres,-,-,134,4.56,134,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Deuce Hogan,New Mexico State,LaTech,LaTech,-,-,135,4.32,135,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Billy Edwards,Maryland,USC,USC,-,-,136,4.29,136,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Jalen Macon,Northern Illinois,Toledo,Toledo,-,-,137,4.25,137,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,Tulsa,Tulsa,-,-,138,4.01,138,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,KentSt,KentSt,-,-,139,3.96,139,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,Wisc,Wisc,-,-,140,3.77,140,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,OkSt,OkSt,-,-,141,3.52,141,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Jeff Sims,Arizona State,Cin,AriSt,-,-,142,3.35,142,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,Baylor,Baylor,-,-,143,3.33,143,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,Ill,Mich,-,-,144,2.70,144,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Bert Emanuel,Central Michigan,EastMi,CentMi,-,-,145,2.62,145,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,OkSt,OkSt,-,-,146,2.58,146,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,Ind,Neb,-,-,147,2.57,147,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,Fla,Kty,-,-,148,2.49,148,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,Wisc,Wisc,-,-,149,2.42,149,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,BallSt,BallSt,-,-,150,2.41,150,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Wake,Wake,-,-,151,2.30,151,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,FlaSt,FlaSt,-,-,152,2.25,152,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Caden Veltkamp,Western Kentucky,SamHou,WestKy,-,-,153,2.24,153,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Kai Horton,Tulane,Rice,Rice,-,-,154,2.22,154,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Cameron Edge,Maryland,USC,USC,-,-,155,2.07,156,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,UConn,Wake,-,-,156,2.07,155,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Colin Parachek,Marshall,GaSt,GaSt,-,-,157,2.01,157,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,TxTch,Baylor,-,-,158,1.69,158,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,Mia-Fl,Mia-Fl,-,-,159,1.61,159,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Steve Angeli,Notre Dame,GaTech,ND,-,-,160,1.59,160,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Elijah Brown,Stanford,SMU,SMU,-,-,161,1.56,161,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,UNLV,UNLV,-,-,162,1.50,162,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Justin Lamson,Stanford,SMU,SMU,-,-,163,1.38,163,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,Tenn,Ala,-,-,164,1.37,164,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Brock Glenn,Florida State,Duke,FlaSt,-,-,165,1.35,165,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,BC,BC,-,-,166,1.30,166,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,Clem,UVa,-,-,167,1.25,167,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,FlaAtl,FlaAtl,-,-,168,1.24,168,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,MD,USC,-,-,169,1.24,169,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Justyn Martin,UCLA,Rut,UCLA,-,-,170,1.14,170,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Dante Moore,Oregon,Purdue,Oregon,-,-,171,1.14,171,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,NM,NM,-,-,172,1.12,172,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,ArkSt,ArkSt,-,-,173,1.09,173,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,JMU,JMU,-,-,174,1.04,174,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Gabarri Johnson,Oregon State,UNLV,UNLV,-,-,175,1.00,175,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,Navy,Char,-,-,176,0.99,177,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,Tex,UGa,-,-,177,0.99,176,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,NW,Wisc,-,-,178,0.88,178,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,UGa,UGa,-,-,179,0.82,179,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,WVU,KanSt,-,-,180,0.78,180,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
Nicco Marchiol,West Virginia,KanSt,KanSt,-,-,181,0.75,181,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
AJ Padgett,Rice,Tulane,Rice,-,-,182,0.75,182,0.75,6.00,0.13,0.00,9.5,0.13,0.25,0.5,0.00
Drew Pyne,Missouri,Auburn,Auburn,-,-,183,0.74,183,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Ajani Sheppard,Rutgers,UCLA,UCLA,-,-,184,0.73,184,0.73,6.50,0.00,0.00,13.0,4.67,1.17,4.0,0.00
Cole Ballard,Kansas,Hou,Hou,-,-,185,0.70,185,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,MissSt,TexA&M,-,-,186,0.68,186,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,Kansas,Hou,-,-,187,0.65,187,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Robby Ashford,South Carolina,Okla,SCar,-,-,188,0.60,188,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Kevin Jennings,SMU,Stan,SMU,-,-,189,0.57,189,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,MiddTn,KennSt,-,-,190,0.55,190,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
JJ Kohl,Iowa State,UCF,UCF,-,-,191,0.54,191,0.54,7.86,0.00,0.00,13.8,2.29,0.57,4.0,0.00
RJ Martinez,Texas State,ODU,TxSt,-,-,192,0.54,192,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,TxSt,TxSt,-,-,193,0.53,193,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
