,,,Week 14 Game,,,,Fantasy,Rushing,,,Receiving,,
78,Pierre Strong,CLE,PIT,-,-,,1.19,1.50,6.23,0.06,0.28,2.11,0.00
79,Isaiah Spiller,LAC,KC,-,-,,1.15,1.60,6.34,0.06,0.22,1.51,0.00
80,Isaiah Davis,NYJ,MIA,-,-,,1.12,1.50,6.40,0.06,0.16,1.24,0.00
81,Boston Scott,LAR,BUF,-,-,,1.08,1.40,6.11,0.06,0.15,1.11,0.00
82,Israel Abanikanda,NYJ,MIA,-,-,,1.07,2.10,8.78,0.00,0.27,1.87,0.00
83,Matt Breida,SF,CHI,-,-,,0.98,1.10,4.94,0.06,0.16,1.23,0.00
84,Zach Evans,LAR,BUF,-,-,,0.75,1.50,6.08,0.00,0.15,1.37,0.00
85,Raheem Blackshear,CAR,PHI,-,-,,0.68,0.80,3.15,0.00,0.49,3.69,0.00
86,Ameer Abdullah,LV,TB,-,-,,0.63,0.60,2.44,0.00,0.51,3.86,0.00
87,Elijah Dotson,LAC,KC,-,-,,0.55,1.10,4.11,0.00,0.19,1.40,0.00
88,D'Ernest Johnson,JAX,TEN,-,-,,0.50,0.90,3.81,0.00,0.15,1.16,0.00
89,Travis Homer,CHI,SF,-,-,,0.49,0.80,3.28,0.00,0.23,1.63,0.00
90,Nyheim Hines,CLE,PIT,-,-,,0.49,0.40,1.61,0.00,0.47,3.33,0.00
91,Emanuel Wilson,GB,DET,-,-,,0.48,0.60,2.48,0.02,0.15,1.10,0.00
92,Cody Schrader,SF,CHI,-,-,,0.48,0.90,4.41,0.00,0.21,0.43,0.00
93,Malik Davis,DAL,CIN,-,-,,0.47,0.80,3.50,0.00,0.16,1.19,0.00
94,Jordan Mason,SF,CHI,-,-,,0.47,0.50,2.27,0.02,0.18,1.26,0.00
95,DeeJay Dallas,ARI,SEA,-,-,,0.46,0.60,2.54,0.00,0.29,2.08,0.00
96,Kenny McIntosh,SEA,ARI,-,-,,0.39,0.70,2.90,0.00,0.13,1.00,0.00
97,Kene Nwangwu,MIN,ATL,-,-,,0.35,0.70,2.82,0.00,0.13,0.72,0.00
98,Sean Tucker,TB,LV,-,-,,0.33,0.50,2.06,0.00,0.13,1.20,0.00
99,Hassan Haskins,TEN,JAX,-,-,,0.32,0.60,2.46,0.00,0.13,0.72,0.00
100,Keilan Robinson,JAX,TEN,-,-,,0.31,0.50,2.08,0.00,0.13,1.01,0.00
101,Keaontay Ingram,KC,LAC,-,-,,0.23,0.40,1.80,0.00,0.10,0.52,0.00
102,Patrick Taylor,SF,CHI,-,-,,0.20,0.20,0.91,0.00,0.14,1.07,0.00
103,Tyrion Davis-Price,PHI,CAR,-,-,,0.12,0.20,0.90,0.00,0.11,0.32,0.00
104,Aaron Shampklin,PIT,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Aidan Robbins,CLE,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,La'Mical Perine,PIT,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Lew Nichols,PHI,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Dante Miller,NYG,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Avery Williams,ATL,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,SaRodorick Thompson,LAR,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Jonathan Ward,PIT,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Kobe Lewis,SEA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Khari Blasingame,CHI,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Sincere McCormick,LV,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Hunter Luepke,DAL,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Mike Boone,CAR,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Anthony McFarland,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Gary Brightwell,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Jordan Mims,NO,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Chris Brooks,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Henry Pearson,GB,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Brittain Brown,LV,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Deneric Prince,KC,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Spencer Brown,ATL,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,James Robinson,NO,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Robert Burns,ATL,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Jabari Small,TEN,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Noah Cain,CIN,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,Xazavian Valladay,NYJ,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Julius Chestnut,TEN,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Ian Wheeler,CHI,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Tony Jones,ARI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Jack Colletto,PIT,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Jacob Kibodi,NO,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Joshua Kelley,NYG,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Elijah Collins,CIN,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Zonovan Knight,DET,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Snoop Conner,DAL,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Lorenzo Lingard,NYG,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Daijun Edwards,PIT,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Tyreik McAllister,LV,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Chris Evans,CIN,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Nate McCrary,GB,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Darrynton Evans,BUF,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Ellis Merriweather,GB,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Royce Freeman,DAL,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Kendall Milton,PHI,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Jake Funk,DET,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Chris Myarick,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Myles Gaskin,MIN,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,Jaret Patterson,LAC,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Reggie Gilliam,BUF,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Nathaniel Peat,DAL,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Hassan Hall,ARI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Adam Prentice,NO,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,C.J. Ham,MIN,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Louis Rees-Zammit,KC,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,George Holani,SEA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Kairee Robinson,SEA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Zander Horvath,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Jacob Saylors,CLE,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Jarveon Howard,GB,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Jaden Shirden,CAR,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Mohamed Ibrahim,MIN,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Carson Steele,KC,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Alec Ingold,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Sione Vaki,DET,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Deon Jackson,NYJ,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Ke'Shawn Vaughn,SF,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Jalen Jackson,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Carlos Washington,ATL,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Ramon Jefferson,TB,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,DJ Williams,TB,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Jermar Jefferson,DET,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Trayveon Williams,CIN,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Jakob Johnson,NYG,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
