,,,Week 16 Game,,,,Fantasy,Passing,,,,,,Rushing,,
53,Skylar Thompson,MIA,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Jameis Winston,CLE,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Michael Pratt,GB,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Sam Howell,SEA,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Austin Reed,CHI,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Hendon Hooker,DET,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Josh Johnson,BAL,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Tyler Huntley,CLE,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Brandon Allen,SF,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
67,Mac Jones,JAX,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
68,Kyle Allen,PIT,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
69,Case Keenum,HOU,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
70,Tyson Bagent,CHI,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
71,Devin Leary,BAL,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
72,Jason Bean,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
73,Rocky Lombardi,CIN,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
74,C.J. Beathard,JAX,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
75,Marcus Mariota,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
76,Stetson Bennett,LAR,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
77,J.J. McCarthy,MIN,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
78,Ian Book,KC,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
79,Trace McSorley,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
80,Tim Boyle,HOU,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
81,Joe Milton,NE,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
82,Carter Bradley,LV,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
83,Nick Mullens,MIN,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
84,Jacoby Brissett,NE,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
85,John Paddock,ATL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
86,Anthony Brown,BUF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
87,Michael Penix,ATL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
88,Jake Browning,CIN,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
89,E.J. Perry,JAX,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
90,Shane Buechele,BUF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
91,Kenny Pickett,PHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
92,Sean Clifford,GB,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
93,Jack Plummer,CAR,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
94,Matt Corral,MIN,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
95,Spencer Rattler,NO,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
96,Andy Dalton,CAR,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
97,Desmond Ridder,ARI,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
98,Sam Darnold,MIN,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
99,Cooper Rush,DAL,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
100,Tommy DeVito,NYG,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
101,Kedon Slovis,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
102,Ben DiNucci,BUF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
103,Jarrett Stidham,DEN,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
104,Joshua Dobbs,SF,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
105,Tyrod Taylor,NYJ,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
106,Jeff Driskel,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
107,Dorian Thompson-Robinson,CLE,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
108,Sam Ehlinger,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
109,Jordan Travis,NYJ,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
110,Justin Fields,PIT,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
111,Clayton Tune,ARI,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
112,Joe Flacco,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
113,Carson Wentz,KC,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
114,Jake Fromm,DET,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
115,Malik Willis,TEN,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
116,Will Grier,PHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
117,Dresser Winn,LAR,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
118,Jake Haener,NO,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
119,John Wolford,TB,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
120,Jaren Hall,MIN,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
121,Bailey Zappe,NE,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
122,Sam Hartman,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
