,,,Week 6 Game,,,,Fantasy,Rushing,,,Receiving,,
37,Trey Benson,ARI,GB,-,-,,5.66,7.60,30.74,0.23,1.17,8.46,0.06
38,Tyler Allgeier,ATL,CAR,-,-,,5.20,7.30,31.41,0.16,1.05,7.39,0.06
39,Jaleel McLaughlin,DEN,LAC,-,-,,5.02,6.50,27.47,0.17,1.24,8.95,0.06
40,Kendre Miller,NO,TB,-,-,,4.75,6.00,24.76,0.19,1.07,7.76,0.06
41,Khalil Herbert,CHI,JAX,-,-,,4.69,6.30,27.14,0.19,0.62,4.72,0.06
42,Rico Dowdle,DAL,DET,-,-,,4.61,5.90,24.96,0.16,1.17,8.53,0.05
43,Antonio Gibson,NE,HOU,-,-,,4.35,4.90,18.84,0.11,1.95,14.46,0.06
44,Kimani Vidal,LAC,DEN,-,-,,4.26,5.50,23.04,0.20,1.02,7.56,0.00
45,Elijah Mitchell,SF,SEA,-,-,,4.13,5.20,24.95,0.19,0.65,4.92,0.00
46,Dameon Pierce,HOU,NE,-,-,,4.12,6.20,26.17,0.18,0.57,4.23,0.00
47,MarShawn Lloyd,GB,ARI,-,-,,4.11,4.80,21.70,0.13,0.97,7.36,0.07
48,Ray Davis,BUF,NYJ,-,-,,4.08,5.00,21.71,0.15,0.83,6.46,0.06
49,Roschon Johnson,CHI,JAX,-,-,,3.70,3.60,15.04,0.15,1.15,8.72,0.07
50,Alexander Mattison,LV,PIT,-,-,,3.69,5.20,20.16,0.12,0.87,5.90,0.06
51,AJ Dillon,GB,ARI,-,-,,3.60,4.60,19.93,0.19,0.64,4.71,0.00
52,Will Shipley,PHI,CLE,-,-,,3.43,4.10,18.09,0.12,0.74,5.42,0.06
53,Braelon Allen,NYJ,BUF,-,-,,3.27,4.10,17.78,0.15,0.46,3.48,0.04
54,Bucky Irving,TB,NO,-,-,,3.25,4.20,16.57,0.10,0.95,6.89,0.05
55,Deuce Vaughn,DAL,DET,-,-,,3.20,3.20,13.91,0.09,0.97,7.24,0.09
56,Jamaal Williams,NO,TB,-,-,,3.10,4.70,18.91,0.14,0.52,3.64,0.00
57,J.K. Dobbins,LAC,DEN,-,-,,2.88,3.40,14.02,0.12,0.69,5.21,0.04
58,Chris Rodriguez,WAS,BAL,-,-,,2.78,4.20,16.25,0.14,0.44,3.19,0.00
59,Tyrone Tracy,NYG,CIN,-,-,,2.75,3.10,12.31,0.08,0.91,6.76,0.06
60,Isaac Guerendo,SF,SEA,-,-,,2.74,3.40,15.37,0.12,0.65,4.86,0.00
61,Ty Johnson,BUF,NYJ,-,-,,2.66,2.60,11.00,0.07,0.99,7.16,0.07
62,Tank Bigsby,JAX,CHI,-,-,,2.61,3.60,15.54,0.11,0.55,3.98,0.00
63,D'Onta Foreman,CLE,PHI,-,-,,2.47,3.70,15.11,0.10,0.49,3.60,0.00
64,Emari Demercado,ARI,GB,-,-,,2.46,2.40,9.78,0.06,1.04,7.61,0.06
65,Kenneth Gainwell,PHI,CLE,-,-,,2.45,2.60,11.15,0.06,0.83,6.18,0.06
66,Justice Hill,BAL,WAS,-,-,,2.45,1.80,8.33,0.06,1.23,9.00,0.06
67,Kevin Harris,NE,HOU,-,-,,2.37,3.50,13.81,0.11,0.45,3.30,0.00
68,Rasheen Ali,BAL,WAS,-,-,,2.36,3.00,14.10,0.07,0.73,5.34,0.00
69,Evan Hull,IND,TEN,-,-,,2.35,2.50,10.64,0.06,0.77,5.67,0.06
70,Eric Gray,NYG,CIN,-,-,,2.33,3.30,13.12,0.09,0.66,4.81,0.00
71,Audric Estime,DEN,LAC,-,-,,2.24,3.10,12.65,0.11,0.48,3.17,0.00
72,Keaton Mitchell,BAL,WAS,-,-,,2.19,2.70,13.27,0.06,0.66,4.98,0.00
73,Dylan Laube,LV,PIT,-,-,,1.97,2.50,9.91,0.08,0.68,5.00,0.00
74,Jase McClellan,ATL,CAR,-,-,,1.89,1.70,7.04,0.06,0.63,4.70,0.06
75,Trey Sermon,IND,TEN,-,-,,1.80,2.60,11.07,0.07,0.36,2.69,0.00
76,Samaje Perine,DEN,LAC,-,-,,1.77,1.50,5.91,0.04,0.98,7.00,0.04
77,Chase Edmonds,TB,NO,-,-,,1.75,1.80,7.00,0.06,0.93,6.89,0.00
78,Miles Sanders,CAR,ATL,-,-,,1.73,2.80,11.05,0.06,0.36,2.63,0.00
79,Frank Gore,BUF,NYJ,-,-,,1.72,2.40,10.28,0.07,0.38,2.70,0.00
80,Cam Akers,HOU,NE,-,-,,1.61,2.60,10.53,0.07,0.21,1.37,0.00
81,Cordarrelle Patterson,PIT,LV,-,-,,1.53,1.90,7.83,0.06,0.51,3.88,0.00
82,Craig Reynolds,DET,DAL,-,-,,1.46,1.90,8.12,0.06,0.38,2.87,0.00
83,Michael Carter,ARI,GB,-,-,,1.41,1.60,6.35,0.06,0.59,4.10,0.00
84,Jawhar Jordan,HOU,NE,-,-,,1.34,1.90,7.92,0.06,0.25,1.85,0.00
85,Kyle Juszczyk,SF,SEA,-,-,,1.24,0.30,1.01,0.00,0.84,7.78,0.06
86,Isaiah Spiller,LAC,DEN,-,-,,1.20,1.60,6.75,0.06,0.24,1.61,0.00
87,Pierre Strong,CLE,PHI,-,-,,1.19,1.50,6.23,0.06,0.28,2.11,0.00
88,Isaiah Davis,NYJ,BUF,-,-,,1.15,1.50,6.60,0.06,0.16,1.28,0.00
89,Blake Watson,DEN,LAC,-,-,,1.13,1.50,5.98,0.06,0.23,1.67,0.00
90,Israel Abanikanda,NYJ,BUF,-,-,,1.10,2.10,9.05,0.00,0.27,1.92,0.00
91,Matt Breida,SF,SEA,-,-,,0.97,1.10,4.88,0.06,0.16,1.21,0.00
92,Dare Ogunbowale,HOU,NE,-,-,,0.80,0.60,2.58,0.00,0.74,5.42,0.00
93,Raheem Blackshear,CAR,ATL,-,-,,0.70,0.80,3.24,0.00,0.50,3.79,0.00
94,Ameer Abdullah,LV,PIT,-,-,,0.62,0.60,2.41,0.00,0.50,3.81,0.00
95,Elijah Dotson,LAC,DEN,-,-,,0.59,1.10,4.38,0.00,0.20,1.49,0.00
96,D'Ernest Johnson,JAX,CHI,-,-,,0.51,0.90,3.88,0.00,0.15,1.18,0.00
97,Travis Homer,CHI,JAX,-,-,,0.51,0.80,3.41,0.00,0.24,1.69,0.00
98,Emanuel Wilson,GB,ARI,-,-,,0.50,0.60,2.61,0.02,0.16,1.16,0.00
99,Nyheim Hines,CLE,PHI,-,-,,0.49,0.40,1.61,0.00,0.47,3.33,0.00
100,Cody Schrader,SF,SEA,-,-,,0.48,0.90,4.36,0.00,0.21,0.42,0.00
101,Malik Davis,DAL,DET,-,-,,0.47,0.80,3.49,0.00,0.15,1.19,0.00
102,Jordan Mason,SF,SEA,-,-,,0.47,0.50,2.24,0.02,0.18,1.25,0.00
103,DeeJay Dallas,ARI,GB,-,-,,0.44,0.60,2.42,0.00,0.28,1.98,0.00
104,Kenny McIntosh,SEA,SF,-,-,,0.38,0.70,2.81,0.00,0.13,0.96,0.00
105,Sean Tucker,TB,NO,-,-,,0.32,0.50,1.99,0.00,0.13,1.16,0.00
106,Keilan Robinson,JAX,CHI,-,-,,0.32,0.50,2.12,0.00,0.14,1.03,0.00
107,Hassan Haskins,TEN,IND,-,-,,0.32,0.60,2.45,0.00,0.13,0.72,0.00
108,JaMycal Hasty,NE,HOU,-,-,,0.25,0.40,1.58,0.00,0.13,0.95,0.00
109,Patrick Taylor,SF,SEA,-,-,,0.19,0.20,0.89,0.00,0.14,1.05,0.00
110,Tyrion Davis-Price,PHI,CLE,-,-,,0.12,0.20,0.87,0.00,0.10,0.31,0.00
111,Jaden Shirden,CAR,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,La'Mical Perine,PIT,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Kairee Robinson,SEA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Lew Nichols,PHI,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Dante Miller,NYG,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Sincere McCormick,LV,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Xazavian Valladay,NYJ,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Trayveon Williams,CIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Ian Wheeler,CHI,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Joshua Kelley,NYG,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Tyler Badie,DEN,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Kobe Lewis,SEA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Jacob Kibodi,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Nick Bawden,HOU,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,Hunter Luepke,DAL,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Andrew Beck,HOU,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Jeremy McNichols,WAS,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Khari Blasingame,CHI,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,Jordan Mims,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Mike Boone,CAR,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Henry Pearson,GB,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Gary Brightwell,JAX,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Patrick Ricard,BAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,British Brooks,HOU,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jacob Saylors,CLE,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Spencer Brown,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,J.J. Taylor,HOU,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Brittain Brown,LV,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Jonathan Ward,PIT,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Robert Burns,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,DJ Williams,TB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Terrell Jennings,NE,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Michael Burton,DEN,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tony Jones,ARI,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Jakob Johnson,NYG,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Noah Cain,CIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Austin Jones,WAS,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Julius Chestnut,TEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,John Kelly,BAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Jack Colletto,PIT,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,Zonovan Knight,DET,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Chris Collier,BAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Lorenzo Lingard,NYG,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Elijah Collins,CIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Tyreik McAllister,LV,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Snoop Conner,DAL,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Nate McCrary,GB,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,Daijun Edwards,PIT,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Ellis Merriweather,GB,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Darrynton Evans,BUF,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Kendall Milton,PHI,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Chris Evans,CIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Chris Myarick,JAX,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Demetric Felton,IND,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Jaret Patterson,LAC,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Deshaun Fenwick,NE,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Nathaniel Peat,DAL,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Royce Freeman,DAL,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Adam Prentice,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Jake Funk,DET,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Aidan Robbins,CLE,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Reggie Gilliam,BUF,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,James Robinson,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Tyler Goodson,IND,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Aaron Shampklin,PIT,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Troy Hairston,HOU,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Jabari Small,TEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Hassan Hall,ARI,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sione Vaki,DET,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,George Holani,SEA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Ke'Shawn Vaughn,SF,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Jarveon Howard,GB,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Carlos Washington,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Jalen Jackson,JAX,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Michael Wiley,WAS,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Deon Jackson,NYJ,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Avery Williams,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Jermar Jefferson,DET,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Owen Wright,BAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Ramon Jefferson,TB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
