,,,Week 16 Game,,,,Fantasy,Rushing,,,Receiving,,
85,Trey Sermon,IND,TEN,-,-,,1.84,2.60,11.41,0.07,0.37,2.77,0.00
86,Miles Sanders,CAR,ARI,-,-,,1.78,2.80,11.46,0.06,0.37,2.73,0.00
87,Chase Edmonds,TB,DAL,-,-,,1.76,1.80,7.03,0.06,0.93,6.92,0.00
88,Samaje Perine,DEN,LAC,-,-,,1.75,1.50,5.81,0.04,0.97,6.87,0.04
89,Cam Akers,HOU,KC,-,-,,1.55,2.60,9.99,0.07,0.19,1.30,0.00
90,DeWayne McBride,MIN,SEA,-,-,,1.52,2.10,8.60,0.07,0.31,2.36,0.00
91,Craig Reynolds,DET,CHI,-,-,,1.46,1.90,8.12,0.06,0.38,2.87,0.00
92,Michael Carter,ARI,CAR,-,-,,1.45,1.60,6.64,0.06,0.62,4.28,0.00
93,Cordarrelle Patterson,PIT,BAL,-,-,,1.40,1.90,7.37,0.05,0.48,3.65,0.00
94,Emani Bailey,KC,HOU,-,-,,1.37,2.20,9.90,0.00,0.42,3.79,0.00
95,Jawhar Jordan,HOU,KC,-,-,,1.29,1.90,7.51,0.06,0.23,1.75,0.00
96,Kyle Juszczyk,SF,MIA,-,-,,1.23,0.30,1.00,0.00,0.83,7.69,0.06
97,Isaiah Spiller,LAC,DEN,-,-,,1.21,1.60,6.87,0.06,0.24,1.64,0.00
98,Pierre Strong,CLE,CIN,-,-,,1.19,1.50,6.21,0.06,0.28,2.10,0.00
99,Jeff Wilson,MIA,SF,-,-,,1.19,1.50,6.50,0.06,0.25,1.78,0.00
100,Ronnie Rivers,LAR,NYJ,-,-,,1.18,1.60,6.66,0.06,0.24,1.55,0.00
101,Isaiah Davis,NYJ,LAR,-,-,,1.16,1.50,6.69,0.06,0.17,1.29,0.00
102,Israel Abanikanda,NYJ,LAR,-,-,,1.11,2.10,9.17,0.00,0.28,1.95,0.00
103,Boston Scott,LAR,NYJ,-,-,,1.07,1.40,5.97,0.06,0.15,1.09,0.00
104,Blake Watson,DEN,LAC,-,-,,1.05,1.50,5.87,0.05,0.23,1.64,0.00
105,Matt Breida,SF,MIA,-,-,,0.96,1.10,4.81,0.06,0.16,1.20,0.00
106,Dare Ogunbowale,HOU,KC,-,-,,0.76,0.60,2.44,0.00,0.70,5.14,0.00
107,Zach Evans,LAR,NYJ,-,-,,0.73,1.50,5.95,0.00,0.15,1.34,0.00
108,Raheem Blackshear,CAR,ARI,-,-,,0.73,0.80,3.35,0.00,0.52,3.93,0.00
109,Ameer Abdullah,LV,JAX,-,-,,0.64,0.60,2.49,0.00,0.52,3.93,0.00
110,Elijah Dotson,LAC,DEN,-,-,,0.60,1.10,4.46,0.00,0.20,1.52,0.00
111,Travis Homer,CHI,DET,-,-,,0.51,0.80,3.40,0.00,0.24,1.69,0.00
112,D'Ernest Johnson,JAX,LV,-,-,,0.50,0.90,3.81,0.00,0.15,1.16,0.00
113,Emanuel Wilson,GB,NO,-,-,,0.49,0.60,2.57,0.02,0.16,1.14,0.00
114,Nyheim Hines,CLE,CIN,-,-,,0.49,0.40,1.61,0.00,0.47,3.31,0.00
115,Malik Davis,DAL,TB,-,-,,0.48,0.80,3.55,0.00,0.16,1.21,0.00
116,Cody Schrader,SF,MIA,-,-,,0.47,0.90,4.30,0.00,0.21,0.42,0.00
117,Jordan Mason,SF,MIA,-,-,,0.46,0.50,2.21,0.02,0.17,1.23,0.00
118,DeeJay Dallas,ARI,CAR,-,-,,0.46,0.60,2.53,0.00,0.29,2.08,0.00
119,Kenny McIntosh,SEA,MIN,-,-,,0.40,0.70,2.97,0.00,0.14,1.02,0.00
120,Kene Nwangwu,MIN,SEA,-,-,,0.35,0.70,2.81,0.00,0.13,0.72,0.00
121,Sean Tucker,TB,DAL,-,-,,0.32,0.50,2.00,0.00,0.13,1.16,0.00
122,Keilan Robinson,JAX,LV,-,-,,0.31,0.50,2.08,0.00,0.13,1.01,0.00
123,Hassan Haskins,TEN,IND,-,-,,0.31,0.60,2.42,0.00,0.13,0.71,0.00
124,JaMycal Hasty,NE,BUF,-,-,,0.25,0.40,1.53,0.00,0.12,0.92,0.00
125,Keaontay Ingram,KC,HOU,-,-,,0.23,0.40,1.80,0.00,0.11,0.53,0.00
126,Patrick Taylor,SF,MIA,-,-,,0.19,0.20,0.88,0.00,0.14,1.04,0.00
127,Tyrion Davis-Price,PHI,WAS,-,-,,0.12,0.20,0.87,0.00,0.10,0.31,0.00
128,Austin Jones,WAS,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,John Kelly,BAL,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Jermar Jefferson,DET,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jakob Johnson,NYG,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,DJ Williams,TB,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Zonovan Knight,DET,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,SaRodorick Thompson,LAR,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jonathan Ward,PIT,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Kairee Robinson,SEA,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Jaden Shirden,CAR,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Deneric Prince,KC,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Henry Pearson,GB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Jordan Mims,NO,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Jeremy McNichols,WAS,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Tyreik McAllister,LV,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Lorenzo Lingard,NYG,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tyler Badie,DEN,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Nate McCrary,GB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Nick Bawden,HOU,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Dante Miller,NYG,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Andrew Beck,HOU,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Lew Nichols,PHI,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Khari Blasingame,CHI,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,La'Mical Perine,PIT,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Mike Boone,CAR,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Patrick Ricard,BAL,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Gary Brightwell,JAX,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Jacob Saylors,CLE,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Chris Brooks,MIA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Carson Steele,KC,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,British Brooks,HOU,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Xazavian Valladay,NYJ,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Brittain Brown,LV,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Ian Wheeler,CHI,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Spencer Brown,ATL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Avery Williams,ATL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Robert Burns,ATL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Ramon Jefferson,TB,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Michael Burton,DEN,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Terrell Jennings,NE,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Noah Cain,CIN,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Tony Jones,ARI,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Julius Chestnut,TEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Joshua Kelley,NYG,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Jack Colletto,PIT,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Jacob Kibodi,NO,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Chris Collier,BAL,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Kobe Lewis,SEA,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Elijah Collins,CIN,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Hunter Luepke,DAL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Snoop Conner,DAL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sincere McCormick,LV,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Daijun Edwards,PIT,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Anthony McFarland,MIA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Evans,CIN,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ellis Merriweather,GB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Darrynton Evans,BUF,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Kendall Milton,PHI,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Demetric Felton,IND,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Myarick,JAX,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Deshaun Fenwick,NE,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Jaret Patterson,LAC,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Royce Freeman,DAL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Nathaniel Peat,DAL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Jake Funk,DET,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Adam Prentice,NO,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Myles Gaskin,MIN,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Louis Rees-Zammit,KC,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Reggie Gilliam,BUF,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Aidan Robbins,CLE,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Tyler Goodson,IND,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,James Robinson,NO,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Troy Hairston,HOU,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aaron Shampklin,PIT,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Hassan Hall,ARI,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Jabari Small,TEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,C.J. Ham,MIN,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,J.J. Taylor,HOU,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,George Holani,SEA,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Sione Vaki,DET,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Zander Horvath,MIA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Ke'Shawn Vaughn,SF,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Jarveon Howard,GB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Carlos Washington,ATL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Mohamed Ibrahim,MIN,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Michael Wiley,WAS,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Alec Ingold,MIA,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Trayveon Williams,CIN,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Deon Jackson,NYJ,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Jalen Jackson,JAX,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
