,,,Week 1 Game,,,,Fantasy,Rushing,,,Receiving,,
38,Tyjae Spears,TEN,CHI,CHI,4.5,43.5,7.16,8.30,33.75,0.20,2.54,18.63,0.12
39,Blake Corum,LAR,DET,DET,3.5,51.0,5.59,6.50,29.23,0.24,1.17,8.69,0.06
40,Rico Dowdle,DAL,CLE,CLE,2,43.0,5.39,7.70,30.90,0.20,1.10,7.98,0.05
41,Zach Charbonnet,SEA,DEN,SEA,-5.0,42.0,5.14,6.00,25.64,0.19,1.54,11.37,0.05
42,Tyler Allgeier,ATL,PIT,ATL,-3.0,41.5,5.04,7.30,30.59,0.16,1.02,7.19,0.05
43,Ty Chandler,MIN,NYG,-,-,,4.83,6.70,26.26,0.16,1.25,9.43,0.05
44,Jaleel McLaughlin,DEN,SEA,SEA,5,42.0,4.77,6.50,26.46,0.16,1.19,8.62,0.05
45,Khalil Herbert,CHI,TEN,CHI,-4.5,43.5,4.73,6.30,27.49,0.19,0.63,4.78,0.06
46,Ray Davis,BUF,ARI,BUF,-6.0,48.0,4.34,5.00,23.23,0.16,0.89,6.92,0.06
47,Dameon Pierce,HOU,IND,HOU,-2.0,49.0,4.25,6.20,26.73,0.18,0.58,4.32,0.01
48,J.K. Dobbins,LAC,LV,LAC,-3.5,42.5,4.18,5.20,21.55,0.18,0.86,6.40,0.05
49,Antonio Gibson,NE,CIN,CIN,9,42.5,4.04,4.90,17.79,0.10,1.84,13.65,0.05
50,Nick Chubb,CLE,DAL,CLE,-2.0,43.0,4.01,5.10,22.91,0.20,0.44,3.43,0.03
51,Trey Benson,ARI,BUF,BUF,6,48.0,3.82,5.10,20.63,0.15,0.86,6.20,0.04
52,Clyde Edwards-Helaire,KC,BAL,KC,-2.5,46.5,3.51,3.90,16.85,0.13,1.18,8.66,0.03
53,AJ Dillon,GB,PHI,PHI,2,48.5,3.50,4.60,19.10,0.18,0.62,4.51,0.01
54,Roschon Johnson,CHI,TEN,CHI,-4.5,43.5,3.49,3.60,15.23,0.15,1.17,8.83,0.03
55,Alexander Mattison,LV,LAC,LAC,3.5,42.5,3.46,5.20,19.80,0.12,0.85,5.80,0.03
56,Bucky Irving,TB,WAS,TB,-3.0,42.0,3.38,4.20,17.10,0.11,0.98,7.11,0.05
57,Will Shipley,PHI,GB,PHI,-2.0,48.5,3.29,4.10,18.40,0.12,0.75,5.51,0.03
58,Jamaal Williams,NO,CAR,NO,-4.0,40.0,3.15,4.70,18.83,0.14,0.52,3.63,0.01
59,Deneric Prince,KC,BAL,KC,-2.5,46.5,3.09,2.90,9.60,0.02,0.29,2.10,0.30
60,Braelon Allen,NYJ,SF,SF,4,44.0,3.04,4.10,16.42,0.14,0.43,3.21,0.04
61,Jaylen Wright,MIA,JAX,MIA,-3.5,49.0,3.02,3.50,16.51,0.12,0.68,4.70,0.03
62,Elijah Mitchell,SF,NYJ,SF,-4.0,44.0,2.91,3.50,16.51,0.12,0.63,4.78,0.01
63,Isaac Guerendo,SF,NYJ,SF,-4.0,44.0,2.80,3.40,14.92,0.12,0.63,4.72,0.02
64,Tank Bigsby,JAX,MIA,MIA,3.5,49.0,2.68,3.60,15.14,0.11,0.54,3.88,0.02
65,Deuce Vaughn,DAL,CLE,CLE,2,43.0,2.64,3.20,13.02,0.08,0.91,6.78,0.03
66,D'Onta Foreman,CLE,DAL,CLE,-2.0,43.0,2.63,3.70,15.38,0.10,0.50,3.67,0.02
67,Kendre Miller,NO,CAR,NO,-4.0,40.0,2.61,3.30,13.74,0.11,0.54,3.92,0.03
68,Tyrone Tracy,NYG,MIN,-,-,,2.60,3.10,12.53,0.08,0.92,6.89,0.03
69,Ty Johnson,BUF,ARI,BUF,-6.0,48.0,2.54,2.60,11.77,0.07,1.06,7.66,0.03
70,Eric Gray,NYG,MIN,-,-,,2.49,3.30,13.36,0.09,0.67,4.90,0.02
71,Kenneth Gainwell,PHI,GB,PHI,-2.0,48.5,2.30,2.60,11.34,0.06,0.85,6.29,0.03
72,MarShawn Lloyd,GB,PHI,PHI,2,48.5,2.30,3.10,13.43,0.08,0.39,2.94,0.03
73,Emari Demercado,ARI,BUF,BUF,6,48.0,2.29,2.40,9.82,0.06,1.05,7.65,0.03
74,Kevin Harris,NE,CIN,CIN,9,42.5,2.28,3.50,13.04,0.10,0.43,3.11,0.01
75,Rasheen Ali,BAL,KC,KC,2.5,46.5,2.26,3.00,12.89,0.07,0.67,4.88,0.01
76,Evan Hull,IND,HOU,HOU,2,49.0,2.19,2.50,10.73,0.06,0.77,5.72,0.03
77,Audric Estime,DEN,SEA,SEA,5,42.0,2.18,3.10,12.19,0.10,0.46,3.05,0.01
78,Justice Hill,BAL,KC,KC,2.5,46.5,2.13,1.80,7.62,0.06,1.12,8.23,0.03
79,Keaton Mitchell,BAL,KC,KC,2.5,46.5,2.09,2.70,12.14,0.06,0.61,4.55,0.01
80,Dylan Laube,LV,LAC,LAC,3.5,42.5,2.06,2.50,9.73,0.08,0.67,4.91,0.02
81,Frank Gore,BUF,ARI,BUF,-6.0,48.0,1.93,2.40,11.00,0.08,0.40,2.89,0.01
82,Trey Sermon,IND,HOU,HOU,2,49.0,1.87,2.60,11.17,0.07,0.36,2.71,0.01
83,Chase Edmonds,TB,WAS,TB,-3.0,42.0,1.85,1.80,7.23,0.06,0.96,7.11,0.01
84,Samaje Perine,DEN,SEA,SEA,5,42.0,1.72,1.50,5.70,0.04,0.95,6.74,0.04
85,Kimani Vidal,LAC,LV,LAC,-3.5,42.5,1.70,2.20,9.26,0.08,0.32,2.34,0.01
86,Miles Sanders,CAR,NO,NO,4,40.0,1.67,2.80,10.59,0.05,0.34,2.52,0.01
87,Craig Reynolds,DET,LAR,DET,-3.5,51.0,1.58,1.90,8.57,0.06,0.40,3.04,0.01
88,Jase McClellan,ATL,PIT,ATL,-3.0,41.5,1.56,1.70,6.86,0.06,0.61,4.57,0.01
89,DeWayne McBride,MIN,NYG,-,-,,1.55,2.10,8.37,0.07,0.31,2.29,0.01
90,Emani Bailey,KC,BAL,KC,-2.5,46.5,1.52,2.20,9.69,0.02,0.41,3.71,0.01
91,Cordarrelle Patterson,PIT,ATL,ATL,3,41.5,1.48,1.90,7.51,0.05,0.49,3.72,0.01
92,Michael Carter,ARI,BUF,BUF,6,48.0,1.47,1.60,6.38,0.06,0.60,4.12,0.01
93,Chris Rodriguez,WAS,TB,TB,3,42.0,1.45,2.10,8.09,0.07,0.22,1.59,0.01
94,Jawhar Jordan,HOU,IND,HOU,-2.0,49.0,1.42,1.90,8.09,0.06,0.25,1.89,0.01
95,Ronnie Rivers,LAR,DET,DET,3.5,51.0,1.32,1.60,6.84,0.07,0.24,1.59,0.01
96,Jeff Wilson,MIA,JAX,MIA,-3.5,49.0,1.28,1.50,6.75,0.06,0.25,1.85,0.01
97,Kyle Juszczyk,SF,NYJ,SF,-4.0,44.0,1.27,0.30,0.98,0.01,0.81,7.56,0.06
98,Pierre Strong,CLE,DAL,CLE,-2.0,43.0,1.27,1.50,6.35,0.06,0.28,2.15,0.01
99,Isaiah Spiller,LAC,LV,LAC,-3.5,42.5,1.26,1.60,6.81,0.06,0.24,1.63,0.01
100,Boston Scott,LAR,DET,DET,3.5,51.0,1.15,1.40,6.13,0.06,0.15,1.12,0.01
101,Blake Watson,DEN,SEA,SEA,5,42.0,1.10,1.50,5.77,0.05,0.22,1.61,0.01
102,Isaiah Davis,NYJ,SF,SF,4,44.0,1.09,1.50,6.09,0.05,0.15,1.18,0.01
103,Israel Abanikanda,NYJ,SF,SF,4,44.0,1.07,2.10,8.36,0.00,0.25,1.78,0.01
104,Matt Breida,SF,NYJ,SF,-4.0,44.0,1.01,1.10,4.73,0.06,0.15,1.18,0.01
105,Dare Ogunbowale,HOU,IND,HOU,-2.0,49.0,1.00,0.60,2.63,0.01,0.75,5.54,0.02
106,Cam Akers,HOU,IND,HOU,-2.0,49.0,0.94,2.10,7.10,0.01,0.31,1.10,0.01
107,Zach Evans,LAR,DET,DET,3.5,51.0,0.87,1.50,6.11,0.01,0.15,1.37,0.01
108,Raheem Blackshear,CAR,NO,NO,4,40.0,0.79,0.80,3.10,0.01,0.48,3.64,0.01
109,Royce Freeman,DAL,CLE,CLE,2,43.0,0.74,1.70,4.50,0.02,0.50,1.70,0.00
110,Ameer Abdullah,LV,LAC,LAC,3.5,42.5,0.73,0.60,2.37,0.01,0.49,3.74,0.01
111,Elijah Dotson,LAC,LV,LAC,-3.5,42.5,0.71,1.10,4.42,0.01,0.20,1.51,0.01
112,Travis Homer,CHI,TEN,CHI,-4.5,43.5,0.64,0.80,3.46,0.01,0.25,1.72,0.01
113,Nyheim Hines,CLE,DAL,CLE,-2.0,43.0,0.62,0.40,1.64,0.01,0.48,3.39,0.01
114,D'Ernest Johnson,JAX,MIA,MIA,3.5,49.0,0.61,0.90,3.78,0.01,0.15,1.15,0.01
115,Tyler Goodson,IND,HOU,HOU,2,49.0,0.61,1.10,3.70,0.04,0.00,0.00,0.00
116,Cody Schrader,SF,NYJ,SF,-4.0,44.0,0.58,0.90,4.23,0.01,0.20,0.41,0.01
117,Jordan Mims,NO,CAR,NO,-4.0,40.0,0.56,1.30,4.59,0.01,0.20,0.40,0.00
118,Malik Davis,DAL,CLE,CLE,2,43.0,0.56,0.80,3.27,0.01,0.14,1.11,0.01
119,DeeJay Dallas,ARI,BUF,BUF,6,48.0,0.56,0.60,2.43,0.01,0.28,1.99,0.01
120,Trayveon Williams,CIN,NE,CIN,-9.0,42.5,0.55,1.10,4.10,0.01,0.30,0.80,0.00
121,Emanuel Wilson,GB,PHI,PHI,2,48.5,0.54,0.60,2.50,0.02,0.15,1.11,0.01
122,Jordan Mason,SF,NYJ,SF,-4.0,44.0,0.52,0.50,2.18,0.02,0.17,1.21,0.01
123,Kenny McIntosh,SEA,DEN,SEA,-5.0,42.0,0.52,0.70,2.96,0.01,0.14,1.01,0.01
124,Carlos Washington,ATL,PIT,ATL,-3.0,41.5,0.51,1.10,3.80,0.01,0.30,0.70,0.00
125,Kene Nwangwu,MIN,NYG,-,-,,0.46,0.70,2.73,0.01,0.13,0.70,0.01
126,Sean Tucker,TB,WAS,TB,-3.0,42.0,0.44,0.50,2.05,0.01,0.13,1.19,0.01
127,Keilan Robinson,JAX,MIA,MIA,3.5,49.0,0.43,0.50,2.06,0.01,0.13,1.00,0.01
128,Hassan Haskins,TEN,CHI,CHI,4.5,43.5,0.43,0.60,2.37,0.01,0.13,0.69,0.01
129,Myles Gaskin,MIN,NYG,-,-,,0.37,0.90,3.10,0.01,0.00,0.00,0.00
130,JaMycal Hasty,NE,CIN,CIN,9,42.5,0.36,0.40,1.49,0.01,0.12,0.89,0.01
131,Keaontay Ingram,KC,BAL,KC,-2.5,46.5,0.35,0.40,1.77,0.01,0.10,0.52,0.01
132,Carson Steele,KC,BAL,KC,-2.5,46.5,0.33,0.60,2.10,0.02,0.00,0.00,0.00
133,Patrick Taylor,SF,NYJ,SF,-4.0,44.0,0.31,0.20,0.87,0.01,0.14,1.02,0.01
134,Darrynton Evans,BUF,ARI,BUF,-6.0,48.0,0.31,0.80,3.10,0.00,0.00,0.00,0.00
135,Sione Vaki,DET,LAR,DET,-3.5,51.0,0.29,0.80,2.90,0.00,0.00,0.00,0.00
136,Tyrion Davis-Price,PHI,GB,PHI,-2.0,48.5,0.24,0.20,0.89,0.01,0.10,0.31,0.01
137,Jaret Patterson,LAC,LV,LAC,-3.5,42.5,0.23,0.70,2.30,0.00,0.00,0.00,0.00
138,Joshua Kelley,NYG,MIN,-,-,,0.16,0.30,1.00,0.01,0.00,0.00,0.00
139,La'Mical Perine,PIT,ATL,ATL,3,41.5,0.14,0.40,1.40,0.00,0.00,0.00,0.00
140,Jeremy McNichols,WAS,TB,TB,3,42.0,0.02,0.20,0.20,0.00,0.00,0.00,0.00
141,Patrick Ricard,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Hassan Hall,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Alec Ingold,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Michael Wiley,WAS,TB,TB,3,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,George Holani,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Jaden Shirden,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Xazavian Valladay,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Kobe Lewis,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Hunter Luepke,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Austin Jones,WAS,TB,TB,3,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,Jacob Kibodi,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Jakob Johnson,NYG,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Jermar Jefferson,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Jalen Jackson,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Kairee Robinson,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Sincere McCormick,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Jacob Saylors,CLE,DAL,CLE,-2.0,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,Anthony McFarland,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,J.J. Taylor,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Dante Miller,NYG,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Jonathan Ward,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Chris Myarick,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Avery Williams,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Henry Pearson,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Troy Hairston,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Adam Prentice,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,C.J. Ham,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Jarveon Howard,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Zander Horvath,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Tyler Badie,DEN,SEA,SEA,5,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Mohamed Ibrahim,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Nick Bawden,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Deon Jackson,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Andrew Beck,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Ramon Jefferson,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Khari Blasingame,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Terrell Jennings,NE,CIN,CIN,9,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Mike Boone,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Tony Jones,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Gary Brightwell,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,John Kelly,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Brooks,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Zonovan Knight,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Jonathon Brooks,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Lorenzo Lingard,NYG,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,British Brooks,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Tyreik McAllister,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Brittain Brown,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Nate McCrary,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Spencer Brown,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Ellis Merriweather,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Robert Burns,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Kendall Milton,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Michael Burton,DEN,SEA,SEA,5,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Lew Nichols,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Noah Cain,CIN,NE,CIN,-9.0,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Nathaniel Peat,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Julius Chestnut,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,Louis Rees-Zammit,KC,BAL,KC,-2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Jack Colletto,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aidan Robbins,CLE,DAL,CLE,-2.0,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Chris Collier,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,James Robinson,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,Elijah Collins,CIN,NE,CIN,-9.0,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,Aaron Shampklin,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,Snoop Conner,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Jabari Small,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Daijun Edwards,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,SaRodorick Thompson,LAR,DET,DET,3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Chris Evans,CIN,NE,CIN,-9.0,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Ke'Shawn Vaughn,SF,NYJ,SF,-4.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Demetric Felton,IND,HOU,HOU,2,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Ian Wheeler,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Deshaun Fenwick,NE,CIN,CIN,9,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,DJ Williams,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Jake Funk,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Reggie Gilliam,BUF,ARI,BUF,-6.0,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
