,,,Week 18 Game,,,,Fantasy,Rushing,,,Receiving,,
70,Isaac Guerendo,SF,ARI,-,-,,2.67,3.40,14.79,0.12,0.62,4.68,0.00
71,Tank Bigsby,JAX,IND,-,-,,2.49,3.60,15.01,0.10,0.53,3.84,0.00
72,Kenneth Gainwell,PHI,NYG,-,-,,2.45,2.60,11.10,0.06,0.83,6.15,0.06
73,D'Onta Foreman,CLE,BAL,-,-,,2.43,3.70,14.77,0.10,0.48,3.52,0.00
74,Emari Demercado,ARI,SF,-,-,,2.42,2.40,9.55,0.06,1.02,7.44,0.06
75,Kevin Harris,NE,BUF,-,-,,2.40,3.50,14.01,0.11,0.46,3.34,0.00
76,Evan Hull,IND,JAX,-,-,,2.39,2.50,10.87,0.06,0.78,5.80,0.06
77,Justice Hill,BAL,CLE,-,-,,2.38,1.80,7.96,0.06,1.18,8.60,0.06
78,Eric Gray,NYG,PHI,-,-,,2.29,3.30,12.81,0.09,0.64,4.70,0.00
79,Rasheen Ali,BAL,CLE,-,-,,2.28,3.00,13.47,0.07,0.70,5.10,0.00
80,Audric Estime,DEN,KC,-,-,,2.15,3.10,12.36,0.10,0.47,3.10,0.00
81,Keaton Mitchell,BAL,CLE,-,-,,2.10,2.70,12.68,0.06,0.63,4.76,0.00
82,Jase McClellan,ATL,CAR,-,-,,2.00,1.70,7.31,0.06,0.65,4.88,0.07
83,Dylan Laube,LV,LAC,-,-,,1.99,2.50,10.05,0.08,0.69,5.07,0.00
84,Trey Sermon,IND,JAX,-,-,,1.83,2.60,11.31,0.07,0.37,2.75,0.00
85,Chase Edmonds,TB,NO,-,-,,1.80,1.80,7.26,0.06,0.96,7.14,0.00
86,Samaje Perine,DEN,KC,-,-,,1.74,1.50,5.78,0.04,0.96,6.84,0.04
87,Frank Gore,BUF,NE,-,-,,1.74,2.40,10.46,0.07,0.38,2.75,0.00
88,Miles Sanders,CAR,ATL,-,-,,1.71,2.80,10.90,0.06,0.35,2.59,0.00
89,Cam Akers,HOU,TEN,-,-,,1.60,2.60,10.48,0.07,0.20,1.36,0.00
90,Cordarrelle Patterson,PIT,CIN,-,-,,1.53,1.90,7.79,0.06,0.51,3.86,0.00
91,DeWayne McBride,MIN,DET,-,-,,1.50,2.10,8.44,0.07,0.31,2.32,0.00
92,Craig Reynolds,DET,MIN,-,-,,1.50,1.90,8.43,0.06,0.40,2.99,0.00
93,Michael Carter,ARI,SF,-,-,,1.38,1.60,6.20,0.06,0.58,4.00,0.00
94,Jawhar Jordan,HOU,TEN,-,-,,1.33,1.90,7.88,0.06,0.25,1.84,0.00
95,Emani Bailey,KC,DEN,-,-,,1.31,2.20,9.48,0.00,0.40,3.63,0.00
96,Ronnie Rivers,LAR,SEA,-,-,,1.30,1.60,7.13,0.07,0.25,1.66,0.00
97,Kyle Juszczyk,SF,ARI,-,-,,1.21,0.30,0.97,0.00,0.80,7.49,0.06
98,Isaiah Spiller,LAC,LV,-,-,,1.19,1.60,6.72,0.06,0.24,1.61,0.00
99,Jeff Wilson,MIA,NYJ,-,-,,1.15,1.50,6.16,0.06,0.23,1.69,0.00
100,Isaiah Davis,NYJ,MIA,-,-,,1.14,1.50,6.54,0.06,0.16,1.27,0.00
101,Boston Scott,LAR,SEA,-,-,,1.12,1.40,6.40,0.06,0.16,1.17,0.00
102,Pierre Strong,CLE,BAL,-,-,,1.12,1.50,6.09,0.05,0.27,2.07,0.00
103,Israel Abanikanda,NYJ,MIA,-,-,,1.09,2.10,8.97,0.00,0.27,1.91,0.00
104,Blake Watson,DEN,KC,-,-,,1.05,1.50,5.85,0.05,0.23,1.63,0.00
105,Matt Breida,SF,ARI,-,-,,0.95,1.10,4.69,0.06,0.15,1.17,0.00
106,Dare Ogunbowale,HOU,TEN,-,-,,0.80,0.60,2.56,0.00,0.74,5.40,0.00
107,Zach Evans,LAR,SEA,-,-,,0.78,1.50,6.37,0.00,0.16,1.43,0.00
108,Raheem Blackshear,CAR,ATL,-,-,,0.69,0.80,3.19,0.00,0.49,3.74,0.00
109,Ameer Abdullah,LV,LAC,-,-,,0.63,0.60,2.44,0.00,0.51,3.86,0.00
110,Elijah Dotson,LAC,LV,-,-,,0.59,1.10,4.36,0.00,0.20,1.49,0.00
111,Travis Homer,CHI,GB,-,-,,0.50,0.80,3.31,0.00,0.23,1.64,0.00
112,Emanuel Wilson,GB,CHI,-,-,,0.49,0.60,2.55,0.02,0.15,1.13,0.00
113,D'Ernest Johnson,JAX,IND,-,-,,0.49,0.90,3.75,0.00,0.15,1.14,0.00
114,Nyheim Hines,CLE,BAL,-,-,,0.48,0.40,1.58,0.00,0.46,3.25,0.00
115,Malik Davis,DAL,WAS,-,-,,0.48,0.80,3.58,0.00,0.16,1.22,0.00
116,Jordan Mason,SF,ARI,-,-,,0.46,0.50,2.16,0.02,0.17,1.20,0.00
117,Cody Schrader,SF,ARI,-,-,,0.46,0.90,4.19,0.00,0.20,0.41,0.00
118,DeeJay Dallas,ARI,SF,-,-,,0.43,0.60,2.37,0.00,0.27,1.94,0.00
119,Kenny McIntosh,SEA,LAR,-,-,,0.38,0.70,2.81,0.00,0.13,0.96,0.00
120,Kene Nwangwu,MIN,DET,-,-,,0.35,0.70,2.76,0.00,0.13,0.71,0.00
121,Sean Tucker,TB,NO,-,-,,0.33,0.50,2.06,0.00,0.13,1.20,0.00
122,Hassan Haskins,TEN,HOU,-,-,,0.31,0.60,2.43,0.00,0.13,0.71,0.00
123,Keilan Robinson,JAX,IND,-,-,,0.30,0.50,2.04,0.00,0.13,0.99,0.00
124,JaMycal Hasty,NE,BUF,-,-,,0.26,0.40,1.60,0.00,0.13,0.96,0.00
125,Keaontay Ingram,KC,DEN,-,-,,0.22,0.40,1.73,0.00,0.10,0.50,0.00
126,Patrick Taylor,SF,ARI,-,-,,0.19,0.20,0.86,0.00,0.14,1.01,0.00
127,Tyrion Davis-Price,PHI,NYG,-,-,,0.12,0.20,0.87,0.00,0.10,0.31,0.00
128,Austin Jones,WAS,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,John Kelly,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Jermar Jefferson,DET,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jakob Johnson,NYG,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,DJ Williams,TB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Zonovan Knight,DET,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,SaRodorick Thompson,LAR,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jonathan Ward,PIT,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Kairee Robinson,SEA,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Jaden Shirden,CAR,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Deneric Prince,KC,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Henry Pearson,GB,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Jordan Mims,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Jeremy McNichols,WAS,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Tyreik McAllister,LV,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Lorenzo Lingard,NYG,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tyler Badie,DEN,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Nate McCrary,GB,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Nick Bawden,HOU,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Dante Miller,NYG,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Andrew Beck,HOU,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Lew Nichols,PHI,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Khari Blasingame,CHI,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,La'Mical Perine,PIT,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Mike Boone,CAR,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Patrick Ricard,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Gary Brightwell,JAX,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Jacob Saylors,CLE,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Chris Brooks,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Carson Steele,KC,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,British Brooks,HOU,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Xazavian Valladay,NYJ,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Brittain Brown,LV,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Ian Wheeler,CHI,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Spencer Brown,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Trayveon Williams,CIN,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Robert Burns,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Ramon Jefferson,TB,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Michael Burton,DEN,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Terrell Jennings,NE,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Noah Cain,CIN,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Tony Jones,ARI,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Julius Chestnut,TEN,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Joshua Kelley,NYG,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Jack Colletto,PIT,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Jacob Kibodi,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Chris Collier,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Kobe Lewis,SEA,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Elijah Collins,CIN,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Hunter Luepke,DAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Snoop Conner,DAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sincere McCormick,LV,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Daijun Edwards,PIT,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Anthony McFarland,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Evans,CIN,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ellis Merriweather,GB,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Darrynton Evans,BUF,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Kendall Milton,PHI,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Demetric Felton,IND,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Myarick,JAX,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Deshaun Fenwick,NE,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Jaret Patterson,LAC,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Royce Freeman,DAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Nathaniel Peat,DAL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Jake Funk,DET,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Adam Prentice,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Myles Gaskin,MIN,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Louis Rees-Zammit,KC,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Reggie Gilliam,BUF,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Aidan Robbins,CLE,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Tyler Goodson,IND,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,James Robinson,NO,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Troy Hairston,HOU,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aaron Shampklin,PIT,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Hassan Hall,ARI,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Jabari Small,TEN,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,C.J. Ham,MIN,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,J.J. Taylor,HOU,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,George Holani,SEA,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Sione Vaki,DET,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Zander Horvath,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Ke'Shawn Vaughn,SF,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Jarveon Howard,GB,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Carlos Washington,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Mohamed Ibrahim,MIN,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Michael Wiley,WAS,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Alec Ingold,MIA,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Avery Williams,ATL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Deon Jackson,NYJ,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Jalen Jackson,JAX,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
