,,,Week 1 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
103,Stephen Carlson,CHI,TEN,CHI,-4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Bernhard Seikovits,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Grant Calcaterra,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Sal Cannella,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Lawrence Cager,NYG,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Blake Whiteheart,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Kenny Yeboah,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Kevin Rader,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,McCallan Castles,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Armani Rogers,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Tanner Conner,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Matt Sokol,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Baylor Cupp,KC,BAL,KC,-2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Messiah Swinson,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Zach Davidson,BUF,ARI,BUF,-6.0,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Jacob Warren,NE,CIN,CIN,9,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Tyler Davis,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Sean McKeon,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Ross Dwelley,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Jordan Murray,IND,HOU,HOU,2,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Michael Ezeike,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Drew Ogletree,IND,HOU,HOU,2,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,Mason Fairchild,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,MyCole Pruitt,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Princeton Fant,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Sammis Reyes,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,Luke Farrell,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Brady Russell,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Anthony Firkser,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,John Samuel Shenker,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Tucker Fisk,LAC,LV,LAC,-3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Geor'quarius Spivey,KC,BAL,KC,-2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,John FitzPatrick,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Sage Surratt,ARI,BUF,BUF,6,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Kevin Foelsch,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Jordan Thomas,ATL,PIT,ATL,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Miller Forristall,LAR,DET,DET,3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Nick Vannett,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Cole Fotheringham,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,David Wells,TB,WAS,TB,-3.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Feleipe Franks,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Jordan Matthews,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Devon Garrison,SEA,DEN,SEA,-5.0,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Tre' McKitty,BUF,ARI,BUF,-6.0,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Zach Gentry,LV,LAC,LAC,3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Zaire Mitchell-Paden,CLE,DAL,CLE,-2.0,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Cam Grandy,CIN,NE,CIN,-9.0,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Patrick Murtagh,JAX,MIA,MIA,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,N'Keal Harry,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Thomas Odukoya,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Zach Heins,LAC,LV,LAC,-3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Albert Okwuegbunam,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Parker Hesse,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Mason Pline,SF,NYJ,SF,-4.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Julian Hill,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,Teagan Quitoriano,HOU,IND,HOU,-2.0,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Alec Holler,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Isaac Rex,LAC,LV,LAC,-3.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Jacob Hollister,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Mike Rigerman,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Jesper Horsted,CAR,NO,NO,4,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Hayden Rucci,MIA,JAX,MIA,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Michael Jacobson,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Lincoln Sefcik,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,E.J. Jenkins,PHI,GB,PHI,-2.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Riley Sharp,BAL,KC,KC,2.5,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Neal Johnson,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Ben Sims,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Nikola Kalinic,LAR,DET,DET,3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Brevyn Spann-Ford,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Hunter Kampmoyer,DEN,SEA,SEA,5,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,John Stephens,DAL,CLE,CLE,2,43.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
